,Crypto,Date,Low,High,Open,Close,Volume
0,BTC,2020-10-30,13131.31,13687.82,13460.0,13571.51,15664.29047538
1,BTC,2020-10-29,12976.29,13650.0,13281.06,13460.0,15796.07667651
2,BTC,2020-10-28,12891.57,13863.87,13740.85,13281.05,21073.3766776
3,BTC,2020-10-27,13061.28,13793.72,13068.79,13698.18,17267.43967837
4,BTC,2020-10-26,12785.0,13250.0,13045.02,13068.79,12275.35826032
5,BTC,2020-10-25,12890.76,13361.0,13126.34,13045.0,9276.17719938
6,BTC,2020-10-24,12884.31,13175.0,12938.0,13126.24,7915.34663475
7,BTC,2020-10-23,12722.72,13037.0,12988.2,12937.09,10450.87207186
8,BTC,2020-10-22,12698.02,13200.0,12808.01,12987.02,20337.78966446
9,BTC,2020-10-21,11900.01,13250.04,11923.07,12808.0,32404.63293167
10,BTC,2020-10-20,11685.0,12050.0,11760.45,11923.83,13840.02481291
11,BTC,2020-10-19,11416.04,11833.0,11514.2,11760.45,10313.23447344
12,BTC,2020-10-18,11350.37,11523.0,11367.9,11514.2,4352.09499051
13,BTC,2020-10-17,11264.75,11421.0,11328.27,11367.89,3586.1455215
14,BTC,2020-10-16,11201.0,11550.01,11509.31,11328.95,9505.26615373
15,BTC,2020-10-15,11263.15,11641.38,11427.7,11509.34,8538.52039637
16,BTC,2020-10-14,11290.83,11556.37,11428.22,11427.7,7078.70152873
17,BTC,2020-10-13,11312.59,11561.45,11535.46,11428.22,8639.21277154
18,BTC,2020-10-12,11187.6,11736.02,11374.01,11535.46,11056.91558046
19,BTC,2020-10-11,11276.28,11444.25,11299.52,11374.01,5163.46475688
20,BTC,2020-10-10,11055.75,11498.98,11057.07,11299.5,9312.75916488
21,BTC,2020-10-09,10834.49,11111.11,10932.44,11057.07,10098.3991552
22,BTC,2020-10-08,10532.11,10963.16,10670.47,10933.09,11301.25106194
23,BTC,2020-10-07,10546.78,10683.75,10601.2,10670.47,6108.04255109
24,BTC,2020-10-06,10524.0,10800.0,10796.97,10602.66,7596.36372031
25,BTC,2020-10-05,10621.12,10800.0,10670.01,10795.0,6081.38701926
26,BTC,2020-10-04,10521.87,10697.0,10550.32,10671.11,3569.25620166
27,BTC,2020-10-03,10498.02,10606.36,10573.12,10551.65,3211.70459291
28,BTC,2020-10-02,10363.76,10668.56,10616.35,10573.12,10263.48290265
29,BTC,2020-10-01,10427.75,10931.98,10779.63,10617.63,12848.73637335
30,BTC,2020-09-30,10657.04,10847.0,10839.98,10779.63,6318.52943807
31,BTC,2020-09-29,10636.13,10860.79,10694.9,10840.73,8200.78265336
32,BTC,2020-09-28,10621.22,10956.11,10779.0,10695.55,8876.06156838
33,BTC,2020-09-27,10595.24,10806.32,10730.0,10778.2,3880.03686062
34,BTC,2020-09-26,10654.58,10828.0,10690.53,10730.0,3783.39739972
35,BTC,2020-09-25,10551.0,10765.07,10740.0,10690.53,9690.62760986
36,BTC,2020-09-24,10192.56,10795.87,10237.41,10740.01,9678.39349807
37,BTC,2020-09-23,10135.22,10541.25,10531.13,10235.1,8893.24233647
38,BTC,2020-09-22,10355.0,10576.82,10416.83,10531.13,7904.25642443
