,Crypto,Date,Low,High,Open,Close,Volume
0,DASH,2020-10-30,64.001,72.645,66.887,69.754,14463.29718063
1,DASH,2020-10-29,65.706,68.673,68.078,66.949,3970.12535031
2,DASH,2020-10-28,66.677,71.274,70.55,68.028,7887.5770993
3,DASH,2020-10-27,69.07,72.208,69.251,70.631,6172.83910961
4,DASH,2020-10-26,68.57,72.48,70.722,69.334,5852.38146261
5,DASH,2020-10-25,70.501,73.791,73.43,70.917,4993.93008105
6,DASH,2020-10-24,71.585,73.786,72.299,73.467,6971.48996664
7,DASH,2020-10-23,70.875,75.501,74.699,72.299,7671.42604805
8,DASH,2020-10-22,74.207,78.0,75.014,74.774,7382.5866731
9,DASH,2020-10-21,70.401,77.139,70.74,74.775,11920.79796988
10,DASH,2020-10-20,70.497,77.055,75.016,70.889,13744.84500595
11,DASH,2020-10-19,65.876,82.3,67.425,74.871,24405.9938568
12,DASH,2020-10-18,66.602,67.604,67.302,67.424,2288.20310805
13,DASH,2020-10-17,65.394,67.412,65.96,67.33,3215.97749934
14,DASH,2020-10-16,65.499,69.992,69.303,66.087,7327.57907197
15,DASH,2020-10-15,68.183,70.5,69.97,69.303,3361.47425405
16,DASH,2020-10-14,69.029,72.082,71.205,70.106,2730.97744954
17,DASH,2020-10-13,70.44,73.481,71.67,71.252,2994.91939934
18,DASH,2020-10-12,70.3,76.5,71.761,71.709,15313.67914254
19,DASH,2020-10-11,67.846,72.527,68.059,71.725,5232.18486315
20,DASH,2020-10-10,67.358,69.311,67.466,67.928,5716.68366992
21,DASH,2020-10-09,65.837,67.901,66.39,67.247,2866.27285826
22,DASH,2020-10-08,64.446,67.25,65.78,66.509,3026.36566616
23,DASH,2020-10-07,64.001,66.282,65.081,65.882,2745.6518539
24,DASH,2020-10-06,64.592,69.093,67.079,65.274,11304.23801926
25,DASH,2020-10-05,65.606,67.069,66.603,67.069,2838.94723397
26,DASH,2020-10-04,65.03,66.775,65.522,66.458,2064.98050376
27,DASH,2020-10-03,65.284,66.519,65.833,65.494,2110.17551179
28,DASH,2020-10-02,64.0,68.762,67.921,65.874,8313.24345334
29,DASH,2020-10-01,67.122,71.0,69.098,67.97,9140.26946571
30,DASH,2020-09-30,66.641,69.115,68.561,69.097,2197.0330468
31,DASH,2020-09-29,66.698,68.701,67.188,68.529,5010.72080387
32,DASH,2020-09-28,67.061,69.957,68.903,67.34,6194.9397259
33,DASH,2020-09-27,67.226,70.105,69.088,68.89,3700.68565461
34,DASH,2020-09-26,68.433,69.854,68.659,69.011,4057.86204252
35,DASH,2020-09-25,66.554,69.527,67.746,68.581,7882.24384751
36,DASH,2020-09-24,64.32,68.419,64.77,67.757,3767.72790803
37,DASH,2020-09-23,64.283,68.485,68.179,64.71,5082.5120267
38,DASH,2020-09-22,66.508,69.415,66.668,68.149,5507.21755528
39,DASH,2020-09-21,64.662,71.542,70.514,66.792,12657.52687436
40,DASH,2020-09-20,69.425,72.897,72.802,70.567,4240.12253823
41,DASH,2020-09-19,71.436,73.394,72.09,72.747,3638.90928229
42,DASH,2020-09-18,70.535,73.627,73.229,72.07,6941.79425
43,DASH,2020-09-17,71.371,74.667,72.948,73.229,3816.02353015
44,DASH,2020-09-16,71.0,74.177,72.908,72.949,3808.22996425
45,DASH,2020-09-15,72.67,76.049,75.166,72.926,6295.94968561
46,DASH,2020-09-14,73.635,76.755,75.432,75.168,3142.41230512
47,DASH,2020-09-13,73.352,79.199,79.199,75.433,5954.43589844
48,DASH,2020-09-12,75.656,79.96,77.078,79.406,4860.13423301
49,DASH,2020-09-11,74.37,77.442,77.068,77.083,3657.89448588
50,DASH,2020-09-10,75.137,77.807,75.675,77.035,4884.96433731
51,DASH,2020-09-09,74.157,77.398,74.65,75.668,7554.46618769
52,DASH,2020-09-08,70.1,78.054,76.249,74.636,15266.17104841
53,DASH,2020-09-07,65.855,79.737,70.203,76.249,14074.70853251
54,DASH,2020-09-06,66.089,71.664,68.029,70.155,5983.62414412
55,DASH,2020-09-05,64.643,74.5,73.678,68.05,12042.60404688
56,DASH,2020-09-04,66.701,73.866,68.255,73.352,19603.41773785
57,DASH,2020-09-03,64.351,83.698,83.245,68.0,17135.00766332
58,DASH,2020-09-02,80.321,89.685,89.101,83.384,12124.02943286
59,DASH,2020-09-01,85.14,90.744,86.171,89.186,11644.31921653
60,DASH,2020-08-31,85.799,88.942,88.242,86.107,6037.6040677
61,DASH,2020-08-30,84.989,88.942,85.03,88.335,12809.57500672
62,DASH,2020-08-29,84.257,86.756,85.0,85.12,4924.61039262
63,DASH,2020-08-28,82.503,86.141,83.3,84.906,5712.45006946
64,DASH,2020-08-27,81.707,86.577,85.982,83.409,7820.70244251
65,DASH,2020-08-26,83.661,87.3,84.486,85.965,7689.79119458
66,DASH,2020-08-25,82.617,91.813,91.721,84.567,12309.04141031
67,DASH,2020-08-24,89.321,93.39,91.58,91.795,8209.93154277
