,Crypto,Date,Low,High,Open,Close,Volume
0,LTC,2020-10-30,52.27,55.81,54.93,54.08,166459.43264668
1,LTC,2020-10-29,53.44,56.55,55.84,54.94,188062.91755927
2,LTC,2020-10-28,54.71,60.9,57.81,55.84,257032.53810454
3,LTC,2020-10-27,56.51,59.1,56.83,58.18,173980.76237557
4,LTC,2020-10-26,55.0,59.35,58.88,56.89,238259.33693771
5,LTC,2020-10-25,56.56,59.99,59.18,58.85,218143.150177
6,LTC,2020-10-24,54.91,59.67,55.45,59.21,243362.27597588
7,LTC,2020-10-23,53.16,57.04,54.42,55.46,254988.04944849
8,LTC,2020-10-22,53.09,56.32,53.09,54.42,326777.67416153
9,LTC,2020-10-21,46.9,55.19,46.95,53.13,475278.90353551
10,LTC,2020-10-20,46.45,48.46,48.01,46.95,87535.07508404
11,LTC,2020-10-19,46.6,48.48,47.58,48.01,77277.50409606
12,LTC,2020-10-18,46.81,47.98,46.93,47.58,45321.78025531
13,LTC,2020-10-17,46.34,47.67,47.65,46.93,63334.50061677
14,LTC,2020-10-16,45.64,49.9,49.55,47.64,169332.3780818
15,LTC,2020-10-15,48.88,50.26,49.81,49.58,76419.28988929
16,LTC,2020-10-14,49.29,51.04,49.97,49.84,76591.8499199
17,LTC,2020-10-13,48.86,50.72,50.6,49.97,105155.79488403
18,LTC,2020-10-12,49.29,51.55,50.47,50.61,158153.17687133
19,LTC,2020-10-11,48.71,51.25,48.86,50.48,93614.45943956
20,LTC,2020-10-10,47.8,50.48,47.82,48.9,147763.95727087
21,LTC,2020-10-09,46.61,48.22,47.25,47.82,81771.81643844
22,LTC,2020-10-08,45.5,47.49,46.56,47.24,93883.49406285
23,LTC,2020-10-07,45.03,46.92,45.95,46.58,85688.47973596
24,LTC,2020-10-06,45.55,48.22,46.35,46.0,134792.02685094
25,LTC,2020-10-05,45.55,47.09,46.68,46.35,56481.82798815
26,LTC,2020-10-04,45.31,47.07,45.59,46.71,63279.3282807
27,LTC,2020-10-03,44.77,46.0,44.94,45.56,60764.30666908
28,LTC,2020-10-02,43.25,46.96,46.15,44.9,138524.84881147
29,LTC,2020-10-01,45.28,48.49,46.33,46.16,193121.14288149
30,LTC,2020-09-30,45.43,46.69,45.67,46.32,64965.81954228
31,LTC,2020-09-29,44.95,45.82,45.2,45.69,62480.95831354
32,LTC,2020-09-28,44.8,47.13,46.1,45.21,118610.25841464
33,LTC,2020-09-27,44.6,46.63,46.08,46.07,70381.75989139
34,LTC,2020-09-26,45.15,46.56,46.04,46.06,76516.40424506
35,LTC,2020-09-25,44.0,46.55,44.94,46.04,120549.61004812
36,LTC,2020-09-24,42.59,45.23,42.97,44.94,85955.87440661
37,LTC,2020-09-23,42.24,45.12,44.49,42.95,96888.68240075
38,LTC,2020-09-22,42.77,44.82,43.15,44.49,118743.82272467
39,LTC,2020-09-21,41.64,47.68,47.1,43.13,227727.68419327
40,LTC,2020-09-20,46.2,48.52,48.49,47.09,93632.44447626
41,LTC,2020-09-19,47.98,48.99,48.55,48.48,56194.76243016
42,LTC,2020-09-18,47.5,49.11,48.88,48.55,102583.85681777
43,LTC,2020-09-17,47.65,49.62,47.73,48.88,95184.10095997
44,LTC,2020-09-16,47.0,48.76,48.32,47.74,117954.97407004
45,LTC,2020-09-15,48.14,50.33,49.08,48.3,139830.52041119
46,LTC,2020-09-14,47.15,49.66,48.19,49.1,221446.07854631
47,LTC,2020-09-13,47.31,51.05,50.85,48.18,135220.91970029
48,LTC,2020-09-12,48.4,51.31,48.99,50.85,123427.37249075
49,LTC,2020-09-11,47.44,49.4,48.74,48.98,106044.69618162
50,LTC,2020-09-10,47.81,49.49,47.81,48.71,123417.05048315
51,LTC,2020-09-09,46.55,48.86,47.47,47.86,118636.19223461
52,LTC,2020-09-08,46.0,49.36,48.88,47.49,159074.566176
53,LTC,2020-09-07,45.31,49.16,47.89,48.88,181580.72302902
54,LTC,2020-09-06,46.3,49.17,47.83,47.94,156230.93393026
55,LTC,2020-09-05,45.14,51.07,50.76,47.83,334390.52556155
56,LTC,2020-09-04,46.51,52.43,50.06,50.76,327758.79085871
57,LTC,2020-09-03,45.14,58.69,58.12,50.07,405821.17981048
58,LTC,2020-09-02,56.77,63.18,62.66,58.12,261021.89575086
59,LTC,2020-09-01,59.77,64.38,60.93,62.71,243590.37238101
60,LTC,2020-08-31,60.59,63.73,62.9,60.93,158964.93459098
61,LTC,2020-08-30,56.94,62.94,56.94,62.9,205877.39035288
62,LTC,2020-08-29,56.95,58.2,57.4,56.95,91471.25516673
63,LTC,2020-08-28,55.34,58.25,56.16,57.4,99285.15621213
64,LTC,2020-08-27,53.98,59.27,58.09,56.15,177729.68057111
65,LTC,2020-08-26,57.0,59.13,58.35,58.09,121801.91850844
66,LTC,2020-08-25,56.63,62.32,62.05,58.38,170447.19342281
67,LTC,2020-08-24,60.03,62.99,60.61,62.04,143649.87796524
68,LTC,2020-08-23,58.08,61.61,60.28,60.62,160307.47038685
69,LTC,2020-08-22,57.75,60.54,59.09,60.28,150189.28633804
70,LTC,2020-08-21,58.77,63.87,62.82,59.09,253293.77485154
71,LTC,2020-08-20,61.03,63.71,62.13,62.8,212675.27832847
72,LTC,2020-08-19,58.76,67.15,65.45,62.12,399762.61609727
73,LTC,2020-08-18,63.3,68.5,67.29,65.4,459641.26117711
74,LTC,2020-08-17,61.42,69.0,63.94,67.3,607245.16022831
75,LTC,2020-08-16,57.64,64.64,59.91,63.91,432590.7969034
76,LTC,2020-08-15,56.57,60.89,56.84,59.9,358740.07189436
77,LTC,2020-08-14,55.92,57.92,57.22,56.85,223915.26001336
78,LTC,2020-08-13,51.89,57.35,54.54,57.18,247877.52059308
79,LTC,2020-08-12,51.61,55.09,54.1,54.55,186859.8909026
80,LTC,2020-08-11,52.41,59.7,58.29,54.12,275618.67142667
81,LTC,2020-08-10,56.57,59.49,57.01,58.28,187943.31960366
82,LTC,2020-08-09,56.1,58.72,58.46,56.97,118709.29872856
83,LTC,2020-08-08,56.51,58.61,57.23,58.46,119001.48445355
84,LTC,2020-08-07,54.76,61.1,59.08,57.25,282108.70523961
85,LTC,2020-08-06,57.78,60.78,58.94,59.08,206942.35713422
86,LTC,2020-08-05,56.73,59.92,57.65,58.97,207576.91387004
87,LTC,2020-08-04,56.33,59.6,58.55,57.65,183754.76070154
88,LTC,2020-08-03,55.72,60.1,56.8,58.54,268801.25123756
89,LTC,2020-08-02,52.7,65.31,61.72,56.77,643179.88806517
90,LTC,2020-08-01,57.64,62.36,58.21,61.72,393363.98160172
91,LTC,2020-07-31,55.85,59.22,56.84,58.23,215041.08650029
92,LTC,2020-07-30,53.92,59.14,55.2,56.82,311150.63276624
93,LTC,2020-07-29,54.77,56.99,55.86,55.2,256964.95440846
94,LTC,2020-07-28,51.71,57.99,53.39,55.86,565218.61558367
95,LTC,2020-07-27,46.93,56.27,48.13,53.38,687116.98638302
96,LTC,2020-07-26,47.64,50.79,49.23,48.14,250162.87842471
97,LTC,2020-07-25,44.09,49.64,44.18,49.23,417779.65692932
98,LTC,2020-07-24,44.0,45.02,44.96,44.16,83961.81951495
99,LTC,2020-07-23,44.55,45.75,45.06,44.98,159555.06997036
100,LTC,2020-07-22,43.22,45.17,43.78,45.02,103094.13507942
101,LTC,2020-07-21,41.89,44.1,41.93,43.83,143836.76510518
102,LTC,2020-07-20,41.45,42.84,42.69,41.97,63463.00403552
103,LTC,2020-07-19,41.88,42.92,42.45,42.65,45068.68542218
104,LTC,2020-07-18,41.75,42.91,41.87,42.47,66946.75004607
105,LTC,2020-07-17,41.67,42.46,42.07,41.89,70495.29275715
106,LTC,2020-07-16,40.86,43.44,43.29,42.08,176455.46504461
107,LTC,2020-07-15,42.84,44.0,43.87,43.3,94270.76316143
108,LTC,2020-07-14,42.89,44.0,43.84,43.88,97524.78827021
109,LTC,2020-07-13,42.62,45.55,44.76,43.88,197318.59357955
110,LTC,2020-07-12,43.76,45.24,44.74,44.71,88298.68388054
111,LTC,2020-07-11,43.88,44.75,44.33,44.74,54369.82291024
112,LTC,2020-07-10,43.44,44.55,44.36,44.32,59555.31504022
113,LTC,2020-07-09,43.54,45.86,45.39,44.33,143449.73644858
114,LTC,2020-07-08,43.11,45.63,43.39,45.4,194183.13418818
115,LTC,2020-07-07,42.84,44.46,44.05,43.37,96588.8308436
116,LTC,2020-07-06,41.53,44.28,41.59,44.03,123371.60286072
117,LTC,2020-07-05,40.75,42.22,42.14,41.59,48602.14017544
118,LTC,2020-07-04,41.08,42.25,41.15,42.15,69557.95126195
119,LTC,2020-07-03,40.9,41.69,41.07,41.17,59851.60096156
120,LTC,2020-07-02,40.32,41.91,41.8,41.08,92590.91961476
121,LTC,2020-07-01,40.96,42.02,41.15,41.8,90040.25267324
122,LTC,2020-06-30,40.73,42.06,41.88,41.16,87725.66249834
123,LTC,2020-06-29,40.57,42.24,41.34,41.87,138471.45770183
124,LTC,2020-06-28,40.4,42.04,41.03,41.32,76550.14926239
125,LTC,2020-06-27,39.18,43.07,43.07,41.04,139851.5090001
126,LTC,2020-06-26,41.3,43.55,42.31,43.06,105097.47308044
127,LTC,2020-06-25,41.61,42.96,42.57,42.31,98787.84554209
128,LTC,2020-06-24,42.0,44.6,44.16,42.57,120432.24493376
129,LTC,2020-06-23,43.88,44.46,44.36,44.16,66036.12634085
130,LTC,2020-06-22,42.91,44.66,42.96,44.3,102659.15830902
131,LTC,2020-06-21,42.82,43.82,43.61,42.96,30295.32050984
132,LTC,2020-06-20,42.23,43.87,42.81,43.56,68715.13921253
133,LTC,2020-06-19,42.54,43.66,43.39,42.77,70834.9247573
134,LTC,2020-06-18,42.81,44.18,44.04,43.4,78430.83285348
135,LTC,2020-06-17,42.97,45.05,43.89,44.04,94770.68600234
136,LTC,2020-06-16,43.32,44.21,43.77,43.86,82069.16537146
137,LTC,2020-06-15,41.75,44.08,43.96,43.76,157475.41859027
138,LTC,2020-06-14,43.54,45.08,45.08,43.99,64934.69951803
139,LTC,2020-06-13,44.27,45.24,44.69,45.07,57037.73182986
140,LTC,2020-06-12,42.78,45.35,43.18,44.7,128084.83664896
141,LTC,2020-06-11,42.12,47.0,46.71,43.19,244686.35203563
142,LTC,2020-06-10,45.64,47.15,45.89,46.71,138941.48696784
143,LTC,2020-06-09,45.39,46.87,46.5,45.93,109843.80986744
144,LTC,2020-06-08,45.98,46.76,46.65,46.51,91939.01539587
145,LTC,2020-06-07,45.1,47.0,46.75,46.64,98604.70198454
146,LTC,2020-06-06,46.0,47.17,46.76,46.75,68895.56468514
147,LTC,2020-06-05,46.45,47.96,47.45,46.76,88149.5213648
148,LTC,2020-06-04,46.29,48.07,47.19,47.44,127960.25846747
149,LTC,2020-06-03,45.28,47.44,46.04,47.16,138648.25100665
150,LTC,2020-06-02,44.52,49.9,48.29,46.03,345204.2123439
151,LTC,2020-06-01,45.34,48.96,45.54,48.27,200979.36228216
152,LTC,2020-05-31,45.1,47.81,47.74,45.57,125310.61108743
153,LTC,2020-05-30,44.12,48.07,44.5,47.75,216888.85363188
154,LTC,2020-05-29,44.16,45.37,44.76,44.48,94083.82233789
155,LTC,2020-05-28,43.15,44.88,43.85,44.75,97888.52376408
156,LTC,2020-05-27,42.23,43.98,42.27,43.87,86956.32239818
157,LTC,2020-05-26,41.79,43.07,42.97,42.29,74651.4929374
158,LTC,2020-05-25,41.76,43.31,42.08,42.97,81678.15561368
159,LTC,2020-05-24,42.04,44.56,43.86,42.06,98282.48599049
160,LTC,2020-05-23,43.68,44.75,44.25,43.85,50438.27297605
161,LTC,2020-05-22,42.32,44.68,42.69,44.22,128211.54030337
162,LTC,2020-05-21,41.53,44.63,44.23,42.68,159270.83651021
163,LTC,2020-05-20,42.94,46.2,45.77,44.21,180901.18096472
164,LTC,2020-05-19,44.07,45.86,45.32,45.76,132536.74382185
165,LTC,2020-05-18,43.64,47.5,43.66,45.32,353209.40697848
166,LTC,2020-05-17,43.08,44.5,43.21,43.7,119367.86305995
167,LTC,2020-05-16,42.5,43.88,42.7,43.27,88025.82432655
168,LTC,2020-05-15,41.89,44.16,44.01,42.7,155228.8275706
169,LTC,2020-05-14,42.28,44.42,43.27,44.02,162135.91610805
170,LTC,2020-05-13,41.99,43.82,42.23,43.26,132447.47637696
171,LTC,2020-05-12,41.31,42.87,41.5,42.26,143902.57982042
172,LTC,2020-05-11,39.34,43.14,42.1,41.52,281292.33084005
173,LTC,2020-05-10,39.98,47.0,46.95,42.15,484171.80872952
174,LTC,2020-05-09,46.66,49.12,47.73,46.94,232097.73092766
175,LTC,2020-05-08,46.4,48.5,47.43,47.74,237192.90734679
176,LTC,2020-05-07,44.5,48.25,45.04,47.46,240753.29452893
177,LTC,2020-05-06,44.47,47.64,46.62,45.06,172293.22309713
178,LTC,2020-05-05,45.79,47.84,47.07,46.58,124117.70076311
179,LTC,2020-05-04,45.26,48.27,48.16,47.07,205771.88311552
180,LTC,2020-05-03,46.71,49.99,49.26,48.15,170361.07436819
181,LTC,2020-05-02,46.79,49.64,47.11,49.26,146295.03624369
182,LTC,2020-05-01,46.36,48.36,46.39,47.11,145467.33322019
183,LTC,2020-04-30,45.78,50.96,48.86,46.39,469948.73458496
184,LTC,2020-04-29,45.65,50.19,45.79,48.85,433999.85075309
185,LTC,2020-04-28,43.5,46.22,44.53,45.8,154106.2439051
186,LTC,2020-04-27,43.19,45.28,44.64,44.53,156879.50413573
187,LTC,2020-04-26,43.76,45.39,44.4,44.63,124959.60161551
188,LTC,2020-04-25,43.9,45.6,44.55,44.41,162978.76091284
189,LTC,2020-04-24,42.89,44.99,42.99,44.56,202913.91346037
190,LTC,2020-04-23,41.03,43.97,41.87,43.0,220095.78865154
191,LTC,2020-04-22,40.33,42.38,40.69,41.88,113064.18579238
192,LTC,2020-04-21,40.15,41.4,40.26,40.7,137212.33013393
193,LTC,2020-04-20,39.53,43.33,42.3,40.27,208215.01525198
194,LTC,2020-04-19,41.56,44.39,44.22,42.28,157063.20997163
195,LTC,2020-04-18,42.08,44.51,42.26,44.2,154548.08863536
196,LTC,2020-04-17,41.66,43.09,42.6,42.21,103965.61456409
197,LTC,2020-04-16,38.0,43.75,39.3,42.6,344240.67029713
198,LTC,2020-04-15,39.12,41.8,41.22,39.3,161434.87112467
199,LTC,2020-04-14,40.52,41.96,41.37,41.22,121272.56942758
200,LTC,2020-04-13,39.5,42.0,42.0,41.37,252257.91858691
201,LTC,2020-04-12,41.9,43.75,42.6,42.04,157019.84946749
202,LTC,2020-04-11,41.51,43.24,42.37,42.61,134221.15836547
203,LTC,2020-04-10,40.93,46.45,46.29,42.36,310086.06787075
204,LTC,2020-04-09,44.67,46.92,46.59,46.29,168911.20278432
205,LTC,2020-04-08,44.27,47.25,44.77,46.58,215204.11797405
206,LTC,2020-04-07,43.63,47.69,45.12,44.8,369765.42416411
207,LTC,2020-04-06,40.37,45.15,40.37,45.12,306101.80165043
208,LTC,2020-04-05,39.95,41.11,40.82,40.38,101091.20280079
209,LTC,2020-04-04,39.95,41.23,40.49,40.85,116122.52421151
210,LTC,2020-04-03,39.54,41.51,39.92,40.54,146916.77579923
211,LTC,2020-04-02,39.01,43.0,39.33,39.97,253540.23707943
212,LTC,2020-04-01,37.17,39.5,39.2,39.33,137571.3019552
213,LTC,2020-03-31,38.38,39.41,38.99,39.15,90366.03732699
214,LTC,2020-03-30,37.1,39.79,37.1,38.99,153320.99136908
215,LTC,2020-03-29,37.01,39.19,38.93,37.11,128864.50782672
216,LTC,2020-03-28,36.57,39.51,38.17,38.91,267051.30087453
217,LTC,2020-03-27,37.94,41.43,40.6,38.15,249311.2201489
218,LTC,2020-03-26,38.54,40.66,39.29,40.59,195149.94395814
219,LTC,2020-03-25,38.24,41.21,40.71,39.25,246537.26984675
220,LTC,2020-03-24,38.39,41.05,39.11,40.7,269331.93957383
221,LTC,2020-03-23,34.51,40.14,35.44,39.12,401153.33829773
222,LTC,2020-03-22,34.85,39.71,38.39,35.45,331013.48690719
223,LTC,2020-03-21,36.29,39.86,38.07,38.39,280210.6641734
224,LTC,2020-03-20,34.13,43.97,39.08,38.09,683270.81544971
225,LTC,2020-03-19,34.08,40.97,34.86,39.08,596063.5401322
226,LTC,2020-03-18,32.37,34.95,34.18,34.85,355432.93843312
227,LTC,2020-03-17,32.58,36.05,33.37,34.17,468722.4901525
228,LTC,2020-03-16,29.17,36.28,36.23,33.33,805533.64122317
229,LTC,2020-03-15,33.95,39.0,34.41,36.24,372347.37199192
230,LTC,2020-03-14,33.81,38.25,38.01,34.43,389165.97780001
231,LTC,2020-03-13,25.0,41.31,29.99,38.01,1759677.99431087
232,LTC,2020-03-12,28.29,48.79,48.54,30.09,1295443.47412016
233,LTC,2020-03-11,45.44,50.72,50.22,48.54,190363.77196425
234,LTC,2020-03-10,48.84,51.5,50.49,50.14,217031.84981885
235,LTC,2020-03-09,46.61,52.51,51.11,50.53,404484.46920914
