,Crypto,Date,Low,High,Open,Close,Volume
0,REP,2020-10-30,12.4,14.29,13.39,13.26,32709.218589
1,REP,2020-10-29,12.3,14.0,12.3,13.46,44082.969028
2,REP,2020-10-28,12.02,13.16,13.05,12.3,22020.868339
3,REP,2020-10-27,12.77,13.37,13.0,13.05,14239.214067
4,REP,2020-10-26,12.93,13.42,13.32,12.99,12894.203317
5,REP,2020-10-25,13.26,13.6,13.52,13.3,9651.061878
6,REP,2020-10-24,13.4,13.98,13.55,13.55,10169.537667
7,REP,2020-10-23,13.41,13.8,13.6,13.55,11779.957516
8,REP,2020-10-22,13.47,13.78,13.48,13.61,13610.607469
9,REP,2020-10-21,13.05,13.85,13.07,13.51,18359.076066
10,REP,2020-10-20,13.0,13.89,13.65,13.09,9208.530444
11,REP,2020-10-19,13.53,13.89,13.66,13.65,5867.895693
12,REP,2020-10-18,13.54,13.83,13.56,13.67,9476.409497
13,REP,2020-10-17,13.53,13.71,13.54,13.56,6337.453168
14,REP,2020-10-16,13.31,13.82,13.69,13.54,10962.241565
15,REP,2020-10-15,13.6,14.04,13.99,13.63,8719.598847
16,REP,2020-10-14,13.62,14.39,14.12,13.98,18981.74697
17,REP,2020-10-13,14.09,14.4,14.37,14.15,9311.902518
18,REP,2020-10-12,14.1,14.78,14.25,14.37,20344.902986
19,REP,2020-10-11,14.0,14.61,14.3,14.26,15000.030397
20,REP,2020-10-10,14.29,14.79,14.3,14.29,23309.396063
21,REP,2020-10-09,13.24,14.4,13.56,14.28,31445.2617
22,REP,2020-10-08,12.77,13.68,13.05,13.55,21689.876281
23,REP,2020-10-07,12.8,13.37,13.35,13.05,24206.288069
24,REP,2020-10-06,13.24,14.64,14.19,13.35,18155.818052
25,REP,2020-10-05,13.8,15.16,13.82,14.2,23649.976713
26,REP,2020-10-04,13.55,14.1,13.98,13.84,16021.693603
27,REP,2020-10-03,13.44,14.46,13.48,14.03,17525.75072
28,REP,2020-10-02,13.01,14.53,14.14,13.5,32804.960947
29,REP,2020-10-01,14.0,15.31,14.27,14.06,21593.504983
30,REP,2020-09-30,14.0,14.85,14.36,14.24,20786.102768
31,REP,2020-09-29,14.0,15.1,14.82,14.43,21933.00018
32,REP,2020-09-28,14.5,15.33,14.7,14.87,22982.778344
33,REP,2020-09-27,14.08,15.47,15.2,14.68,27255.031739
34,REP,2020-09-26,14.06,16.5,14.41,15.21,73058.63757
35,REP,2020-09-25,13.05,15.06,14.34,14.32,57434.347154
36,REP,2020-09-24,12.46,14.85,12.78,14.33,54012.301798
37,REP,2020-09-23,12.59,14.85,14.08,12.77,63759.016535
38,REP,2020-09-22,13.23,14.85,14.01,14.09,56307.916645
39,REP,2020-09-21,13.46,15.8,15.8,14.01,54762.788873
40,REP,2020-09-20,14.66,17.99,15.18,15.82,80337.582752
41,REP,2020-09-19,14.87,15.5,15.09,15.24,19686.982676
42,REP,2020-09-18,15.0,16.39,15.91,15.12,55783.839399
43,REP,2020-09-17,15.66,18.03,16.34,16.05,49028.950526
44,REP,2020-09-16,15.8,16.88,16.57,16.31,49384.32186
45,REP,2020-09-15,16.45,17.83,17.45,16.52,52928.22293
46,REP,2020-09-14,17.18,18.1,17.35,17.46,37737.605043
47,REP,2020-09-13,17.12,19.5,18.15,17.42,61991.730314
48,REP,2020-09-12,18.02,20.18,18.81,18.07,114262.214066
49,REP,2020-09-11,16.31,20.9,16.86,18.8,114660.166809
50,REP,2020-09-10,16.31,17.58,17.15,16.86,31421.313311
51,REP,2020-09-09,15.88,17.4,15.9,17.36,31034.917208
52,REP,2020-09-08,15.57,17.52,16.79,16.01,32188.649654
53,REP,2020-09-07,16.16,17.7,17.68,16.79,22079.08497
54,REP,2020-09-06,15.51,17.88,16.67,17.55,40800.904101
55,REP,2020-09-05,15.01,19.39,18.74,16.82,65591.007707
56,REP,2020-09-04,15.74,18.98,16.83,18.71,98034.0664
