Date,CL Fut,CL Spot,NG Fut,NG Spot
20201103,37.66,37.44,3.059,2.88
20201102,36.81,36.6,3.244,3.03
20201030,35.79,35.64,3.354,3.03
20201029,36.17,35.94,3.301,3.06
20201028,37.39,37.27,2.9960000000000004,3.14
20201027,39.57,39.34,3.019,3.07
20201026,38.56,38.39,3.024,3.14
20201023,39.85,39.73,2.971,2.91
20201022,40.64,40.46,3.007,2.99
20201021,40.03,39.88,3.023,2.95
20201020,41.46,41.37,2.9130000000000003,2.57
20201019,40.83,40.69,2.795,2.3
20201016,40.88,40.7,2.773,2.16
20201015,40.96,40.84,2.775,2.23
20201014,41.04,40.86,2.636,2.02
20201013,40.2,40.03,2.855,2.14
20201012,39.43,39.22,2.881,2.31
20201009,40.6,40.44,2.741,2.25
20201008,41.19,41.04,2.627,1.49
20201007,39.95,39.82,2.6060000000000003,2.01
20201006,40.67,40.52,2.52,1.86
20201005,39.22,39.12,2.615,1.92
20201002,37.05,36.9,2.438,1.41
20201001,38.72,38.51,2.527,1.6
20200930,40.22,40.05,2.527,1.66
20200929,39.29,39.03,2.5610000000000004,1.74
20200928,40.6,40.47,2.101,1.83
20200925,40.25,40.06,2.139,1.9
20200924,40.31,40.11,2.248,1.93
20200923,39.93,39.92,2.125,1.74
20200922,39.6,39.55,1.834,1.49
20200921,39.31,39.26,1.835,1.33
20200918,41.11,41.09,2.048,1.56
20200917,40.97,40.99,2.042,1.65
20200916,40.16,40.17,2.267,2.06
20200915,38.28,38.29,2.362,2.19
20200914,37.26,37.23,2.31,2.18
20200911,37.33,37.33,2.269,1.93
20200910,37.3,37.25,2.323,2.13
20200909,38.05,38.05,2.406,2.21
20200908,36.76,36.87,2.4,2.35
20200904,39.77,39.69,2.588,1.8
20200903,41.37,41.39,2.487,2.32
20200902,41.51,42.76,2.486,2.15
20200901,42.76,42.76,2.527,2.22
20200831,42.61,42.61,2.63,2.3
20200828,42.97,42.96,2.657,2.46
20200827,43.04,42.88,2.579,2.52
20200826,43.39,43.21,2.461,2.52
20200825,43.35,43.17,2.489,2.54
20200824,42.62,42.44,2.513,2.57
20200821,42.34,42.32,2.448,2.39
20200820,42.58,42.62,2.352,2.35
20200819,42.93,42.91,2.426,2.43
20200818,42.89,42.89,2.417,2.45
20200817,42.89,42.89,2.339,2.32
20200814,42.01,42.05,2.356,2.23
20200813,42.24,42.26,2.182,2.19
20200812,42.67,42.6,2.152,2.05
20200811,41.61,41.53,2.171,2.19
20200810,41.94,41.94,2.153,2.18
20200807,41.22,41.16,2.238,2.15
20200806,41.95,41.93,2.165,2.26
20200805,42.19,42.25,2.191,2.23
20200804,41.7,41.67,2.193,2.07
20200803,41.01,40.83,2.101,1.95
20200731,40.27,40.1,1.7990000000000002,1.83
20200730,39.92,39.85,1.829,1.81
20200729,41.27,41.13,1.854,1.77
20200728,41.04,40.89,1.8,1.83
20200727,41.6,41.46,1.734,1.85
20200724,41.29,41.23,1.808,1.77
20200723,41.07,40.99,1.785,1.75
20200722,41.9,41.88,1.681,1.69
20200721,41.96,41.76,1.675,1.66
20200720,40.81,40.83,1.641,1.71
20200717,40.59,40.55,1.7180000000000002,1.79
20200716,40.75,40.74,1.723,1.79
20200715,41.2,41.2,1.778,1.76
20200714,40.29,40.3,1.746,1.74
20200713,40.1,40.06,1.739,1.75
20200710,40.55,40.56,1.805,1.79
20200709,39.62,39.64,1.779,1.88
20200708,40.9,40.91,1.824,1.78
20200707,40.62,40.59,1.876,1.76
20200706,40.63,40.51,1.83,1.71
20200703,40.65,40.57,1.734,0.0
20200701,39.82,39.88,1.671,1.69
20200630,39.27,39.27,1.751,1.76
20200629,39.7,39.67,1.709,1.67
20200626,38.49,38.53,1.495,1.42
20200625,38.72,38.66,1.482,1.53
20200624,38.01,37.91,1.597,1.64
20200623,40.37,40.4,1.6369999999999998,1.61
20200622,40.46,40.6,1.664,1.64
20200619,39.75,39.72,1.669,1.49
20200618,38.84,38.79,1.638,1.51
20200617,37.96,37.91,1.638,1.55
20200616,38.38,38.26,1.614,1.43
20200615,37.12,37.07,1.669,1.64
20200612,36.26,36.24,1.731,1.67
20200611,36.34,36.43,1.813,1.77
20200610,39.6,39.54,1.78,1.72
20200609,38.94,38.98,1.767,1.68
20200608,38.19,38.17,1.789,1.68
20200605,39.55,39.49,1.7819999999999998,1.8
20200604,37.41,37.42,1.822,1.68
20200603,37.29,37.33,1.821,1.84
20200602,36.81,36.88,1.777,1.58
20200601,35.44,35.49,1.774,1.59
20200529,35.49,35.57,1.849,1.7
20200528,33.71,33.67,1.827,1.79
20200527,32.81,32.8,1.722,1.78
20200526,34.35,34.7,1.793,1.79
20200522,33.25,33.49,1.731,1.7
20200521,33.92,34.3,1.71,1.75
20200520,33.49,33.56,1.771,1.83
20200519,32.5,32.3,1.83,1.85
20200518,31.82,31.83,1.783,1.77
20200515,29.43,29.44,1.646,1.66
20200514,27.56,27.4,1.681,1.6
20200513,25.29,25.37,1.616,1.56
20200512,25.78,25.76,1.72,1.61
20200511,24.14,24.02,1.826,1.7
20200508,24.74,24.73,1.823,1.74
20200507,23.55,23.68,1.894,1.84
20200506,23.99,23.88,1.944,1.9
20200505,24.56,24.56,2.134,1.93
20200504,20.39,20.47,1.993,1.78
20200501,19.78,19.72,1.89,1.69
20200430,18.84,19.23,1.949,1.63
20200429,15.06,15.04,1.869,1.73
20200428,12.34,12.4,1.794,1.8
20200427,12.78,12.17,1.819,1.68
20200424,16.94,15.99,1.746,1.81
20200423,16.5,15.06,1.815,1.86
20200422,13.78,13.64,1.939,1.9
20200421,10.01,8.91,1.821,1.92
20200420,-37.63,-36.98,1.924,1.78
20200417,18.27,18.31,1.753,1.71
20200416,19.87,19.82,1.686,1.59
20200415,19.87,19.96,1.598,1.68
20200414,20.11,20.15,1.65,1.76
20200413,22.41,22.36,1.724,1.86
20200409,22.76,22.9,1.733,1.74
20200408,25.09,24.97,1.783,1.86
20200407,23.63,23.54,1.852,1.83
20200406,26.08,26.21,1.731,1.64
20200403,28.34,28.36,1.621,1.5
20200402,25.32,25.18,1.5519999999999998,1.55
20200401,20.31,20.28,1.587,1.69
20200331,20.48,20.51,1.64,1.71
20200330,20.09,14.1,1.69,1.65
20200327,21.51,15.48,1.634,1.7
20200326,22.6,16.6,1.6369999999999998,1.73
20200325,24.49,20.75,1.659,1.8
20200323,23.36,23.33,1.602,1.7
20200320,22.43,19.48,1.604,1.76
