Date,BTC,CL Fut,CL Spot,NG Fut,NG Spot
20201103,13571.51,37.66,37.44,3.0589999999999997,2.88
20201102,13460.0,36.81,36.6,3.2439999999999998,3.03
20201030,13281.05,35.79,35.64,3.3539999999999996,3.03
20201029,13698.18,36.17,35.94,3.301,3.06
20201028,13068.79,37.39,37.27,2.9960000000000004,3.14
20201027,13045.0,39.57,39.34,3.0189999999999997,3.07
20201026,13126.24,38.56,38.39,3.0239999999999996,3.14
20201023,12937.09,39.85,39.73,2.971,2.91
20201022,12987.02,40.64,40.46,3.0069999999999997,2.99
20201021,12808.0,40.03,39.88,3.023,2.95
20201020,11923.83,41.46,41.37,2.9130000000000003,2.57
20201019,11760.45,40.83,40.69,2.795,2.3
20201016,11514.2,40.88,40.7,2.773,2.16
20201015,11367.89,40.96,40.84,2.775,2.23
20201014,11328.95,41.04,40.86,2.636,2.02
20201013,11509.34,40.2,40.03,2.855,2.14
20201012,11427.7,39.43,39.22,2.8810000000000002,2.31
20201009,11428.22,40.6,40.44,2.741,2.25
20201008,11535.46,41.19,41.04,2.627,1.49
20201007,11374.01,39.95,39.82,2.6060000000000003,2.01
20201006,11299.5,40.67,40.52,2.52,1.86
20201005,11057.07,39.22,39.12,2.615,1.92
20201002,10933.09,37.05,36.9,2.438,1.41
20201001,10670.47,38.72,38.51,2.5269999999999997,1.6
20200930,10602.66,40.22,40.05,2.5269999999999997,1.66
20200929,10795.0,39.29,39.03,2.5610000000000004,1.74
20200928,10671.11,40.6,40.47,2.101,1.83
20200925,10551.65,40.25,40.06,2.1390000000000002,1.9
20200924,10573.12,40.31,40.11,2.248,1.93
20200923,10617.63,39.93,39.92,2.125,1.74
20200922,10779.63,39.6,39.55,1.834,1.49
20200921,10840.73,39.31,39.26,1.835,1.33
20200918,10695.55,41.11,41.09,2.048,1.56
20200917,10778.2,40.97,40.99,2.042,1.65
20200916,10730.0,40.16,40.17,2.267,2.06
20200915,10690.53,38.28,38.29,2.362,2.19
20200914,10740.01,37.26,37.23,2.31,2.18
20200911,10235.1,37.33,37.33,2.269,1.93
20200910,10531.13,37.3,37.25,2.323,2.13
20200909,10416.82,38.05,38.05,2.406,2.21
20200908,10920.89,36.76,36.87,2.4,2.35
20200904,11080.0,39.77,39.69,2.588,1.8
20200903,10937.52,41.37,41.39,2.487,2.32
20200902,10943.61,41.51,42.76,2.4859999999999998,2.15
20200901,10959.61,42.76,42.76,2.5269999999999997,2.22
20200831,10783.75,42.61,42.61,2.63,2.3
20200828,10679.95,42.97,42.96,2.657,2.46
20200827,10336.76,43.04,42.88,2.5789999999999997,2.52
20200826,10446.52,43.39,43.21,2.461,2.52
20200825,10394.41,43.35,43.17,2.489,2.54
20200824,10343.23,42.62,42.44,2.513,2.57
20200821,10224.56,42.34,42.32,2.448,2.39
20200820,10125.69,42.58,42.62,2.352,2.35
20200819,10375.0,42.93,42.91,2.426,2.43
20200818,10257.86,42.89,42.89,2.417,2.45
20200817,10168.36,42.89,42.89,2.339,2.32
20200814,10500.05,42.01,42.05,2.356,2.23
20200813,10172.52,42.24,42.26,2.182,2.19
20200812,11395.48,42.67,42.6,2.1519999999999997,2.05
20200811,11924.22,41.61,41.53,2.171,2.19
20200810,11655.0,41.94,41.94,2.153,2.18
20200807,11716.01,41.22,41.16,2.238,2.15
20200806,11474.31,41.95,41.93,2.165,2.26
20200805,11535.0,42.19,42.25,2.191,2.23
20200804,11330.06,41.7,41.67,2.193,2.07
20200803,11463.27,41.01,40.83,2.101,1.95
20200731,11324.92,40.27,40.1,1.7990000000000002,1.83
20200730,11753.85,39.92,39.85,1.829,1.81
20200729,11650.01,41.27,41.13,1.854,1.77
20200728,11672.93,41.04,40.89,1.8,1.83
20200727,11529.22,41.6,41.46,1.734,1.85
20200724,11864.26,41.29,41.23,1.808,1.77
20200723,11758.87,41.07,40.99,1.785,1.75
20200722,11950.0,41.9,41.88,1.681,1.69
20200721,12304.26,41.96,41.76,1.675,1.66
20200720,11918.84,40.81,40.83,1.641,1.71
20200717,11859.24,40.59,40.55,1.7180000000000002,1.79
20200716,11779.0,40.75,40.74,1.723,1.79
20200715,11795.95,41.2,41.2,1.778,1.76
20200714,11566.45,40.29,40.3,1.746,1.74
20200713,11388.53,40.1,40.06,1.739,1.75
20200710,11899.73,40.55,40.56,1.805,1.79
20200709,11688.48,39.62,39.64,1.7790000000000001,1.88
20200708,11774.98,40.9,40.91,1.824,1.78
20200707,11606.52,40.62,40.59,1.876,1.76
20200706,11773.89,40.63,40.51,1.83,1.71
20200703,11756.75,40.65,40.57,1.734,0.0
20200701,11197.04,39.82,39.88,1.671,1.69
20200630,11233.13,39.27,39.27,1.751,1.76
20200629,11068.54,39.7,39.67,1.709,1.67
20200626,11810.07,38.49,38.53,1.495,1.42
20200625,11351.62,38.72,38.66,1.482,1.53
