Index,Series Name,Period,Frequency,Value,Units
0,"Cushing, OK Crude Oil Future Contract 1, Daily",20201103,D,37.66,Dollars per Barrel
1,"Cushing, OK Crude Oil Future Contract 1, Daily",20201102,D,36.81,Dollars per Barrel
2,"Cushing, OK Crude Oil Future Contract 1, Daily",20201030,D,35.79,Dollars per Barrel
3,"Cushing, OK Crude Oil Future Contract 1, Daily",20201029,D,36.17,Dollars per Barrel
4,"Cushing, OK Crude Oil Future Contract 1, Daily",20201028,D,37.39,Dollars per Barrel
5,"Cushing, OK Crude Oil Future Contract 1, Daily",20201027,D,39.57,Dollars per Barrel
6,"Cushing, OK Crude Oil Future Contract 1, Daily",20201026,D,38.56,Dollars per Barrel
7,"Cushing, OK Crude Oil Future Contract 1, Daily",20201023,D,39.85,Dollars per Barrel
8,"Cushing, OK Crude Oil Future Contract 1, Daily",20201022,D,40.64,Dollars per Barrel
9,"Cushing, OK Crude Oil Future Contract 1, Daily",20201021,D,40.03,Dollars per Barrel
10,"Cushing, OK Crude Oil Future Contract 1, Daily",20201020,D,41.46,Dollars per Barrel
11,"Cushing, OK Crude Oil Future Contract 1, Daily",20201019,D,40.83,Dollars per Barrel
12,"Cushing, OK Crude Oil Future Contract 1, Daily",20201016,D,40.88,Dollars per Barrel
13,"Cushing, OK Crude Oil Future Contract 1, Daily",20201015,D,40.96,Dollars per Barrel
14,"Cushing, OK Crude Oil Future Contract 1, Daily",20201014,D,41.04,Dollars per Barrel
15,"Cushing, OK Crude Oil Future Contract 1, Daily",20201013,D,40.2,Dollars per Barrel
16,"Cushing, OK Crude Oil Future Contract 1, Daily",20201012,D,39.43,Dollars per Barrel
17,"Cushing, OK Crude Oil Future Contract 1, Daily",20201009,D,40.6,Dollars per Barrel
18,"Cushing, OK Crude Oil Future Contract 1, Daily",20201008,D,41.19,Dollars per Barrel
19,"Cushing, OK Crude Oil Future Contract 1, Daily",20201007,D,39.95,Dollars per Barrel
20,"Cushing, OK Crude Oil Future Contract 1, Daily",20201006,D,40.67,Dollars per Barrel
21,"Cushing, OK Crude Oil Future Contract 1, Daily",20201005,D,39.22,Dollars per Barrel
22,"Cushing, OK Crude Oil Future Contract 1, Daily",20201002,D,37.05,Dollars per Barrel
23,"Cushing, OK Crude Oil Future Contract 1, Daily",20201001,D,38.72,Dollars per Barrel
24,"Cushing, OK Crude Oil Future Contract 1, Daily",20200930,D,40.22,Dollars per Barrel
25,"Cushing, OK Crude Oil Future Contract 1, Daily",20200929,D,39.29,Dollars per Barrel
26,"Cushing, OK Crude Oil Future Contract 1, Daily",20200928,D,40.6,Dollars per Barrel
27,"Cushing, OK Crude Oil Future Contract 1, Daily",20200925,D,40.25,Dollars per Barrel
28,"Cushing, OK Crude Oil Future Contract 1, Daily",20200924,D,40.31,Dollars per Barrel
29,"Cushing, OK Crude Oil Future Contract 1, Daily",20200923,D,39.93,Dollars per Barrel
30,"Cushing, OK Crude Oil Future Contract 1, Daily",20200922,D,39.6,Dollars per Barrel
31,"Cushing, OK Crude Oil Future Contract 1, Daily",20200921,D,39.31,Dollars per Barrel
32,"Cushing, OK Crude Oil Future Contract 1, Daily",20200918,D,41.11,Dollars per Barrel
33,"Cushing, OK Crude Oil Future Contract 1, Daily",20200917,D,40.97,Dollars per Barrel
34,"Cushing, OK Crude Oil Future Contract 1, Daily",20200916,D,40.16,Dollars per Barrel
35,"Cushing, OK Crude Oil Future Contract 1, Daily",20200915,D,38.28,Dollars per Barrel
36,"Cushing, OK Crude Oil Future Contract 1, Daily",20200914,D,37.26,Dollars per Barrel
37,"Cushing, OK Crude Oil Future Contract 1, Daily",20200911,D,37.33,Dollars per Barrel
38,"Cushing, OK Crude Oil Future Contract 1, Daily",20200910,D,37.3,Dollars per Barrel
39,"Cushing, OK Crude Oil Future Contract 1, Daily",20200909,D,38.05,Dollars per Barrel
40,"Cushing, OK Crude Oil Future Contract 1, Daily",20200908,D,36.76,Dollars per Barrel
41,"Cushing, OK Crude Oil Future Contract 1, Daily",20200904,D,39.77,Dollars per Barrel
42,"Cushing, OK Crude Oil Future Contract 1, Daily",20200903,D,41.37,Dollars per Barrel
43,"Cushing, OK Crude Oil Future Contract 1, Daily",20200902,D,41.51,Dollars per Barrel
44,"Cushing, OK Crude Oil Future Contract 1, Daily",20200901,D,42.76,Dollars per Barrel
45,"Cushing, OK Crude Oil Future Contract 1, Daily",20200831,D,42.61,Dollars per Barrel
46,"Cushing, OK Crude Oil Future Contract 1, Daily",20200828,D,42.97,Dollars per Barrel
