Date,USD,JPY,GBP,AUD,RUB,CNY,KRW,HKD,INR
2020-10-30,1.1698,122.36,0.9020799999999999,1.6563,92.4606,7.8158,1324.2,9.0706,87.1115
2020-10-29,1.1704,122.09,0.9043,1.6673,93.0481,7.8531,1326.92,9.0735,87.0865
2020-10-28,1.1727,122.36,0.9066200000000001,1.6603,92.3025,7.8845,1332.51,9.0885,86.804
2020-10-27,1.1832,123.74,0.9071799999999999,1.6585,90.571,7.9345,1332.89,9.1699,87.1635
2020-10-26,1.1819,124.14,0.90755,1.6592,90.2935,7.9342,1338.31,9.1598,87.5485
2020-10-23,1.1856,124.17,0.90675,1.6578,90.6421,7.9157,1338.52,9.1885,87.3245
2020-10-22,1.1821,123.72,0.9027299999999999,1.6644,90.8256,7.898,1341.66,9.1614,87.11200000000001
2020-10-21,1.1852,124.27,0.90754,1.6733,91.4095,7.8879,1343.08,9.1854,87.3745
2020-10-20,1.181,124.79,0.9132899999999999,1.6801,92.0238,7.8918,1346.35,9.1528,86.8465
2020-10-19,1.1785,124.11,0.9058799999999999,1.6575,91.4401,7.8767,1341.33,9.1334,86.3945
2020-10-16,1.1741,123.59,0.90915,1.6555,91.5767,7.8639,1341.16,9.0993,86.0715
2020-10-15,1.1698,123.15,0.90535,1.6554,91.4345,7.8756,1344.08,9.066,85.95100000000001
2020-10-14,1.175,123.7,0.90395,1.6378,90.9325,7.9092,1346.7,9.1063,86.0995
2020-10-13,1.1787,124.38,0.90591,1.6403,90.8041,7.9388,1351.0,9.135,86.425
2020-10-12,1.1799,124.41,0.9059799999999999,1.6357,90.765,7.9578,1355.3,9.1443,86.476
2020-10-09,1.1795,124.95,0.9116700000000001,1.6405,90.9413,7.9047,1350.52,9.1412,86.1985
2020-10-08,1.1765,124.69,0.91035,1.6421,91.0675,7.9894,1355.48,9.1181,86.186
2020-10-07,1.177,124.73,0.9141299999999999,1.65,91.9715,7.9934,1362.7,9.1219,86.26299999999999
2020-10-06,1.1795,124.58,0.91058,1.6472,91.772,8.0111,1368.49,9.1412,86.5715
2020-10-05,1.1768,124.25,0.9081,1.6379,92.5353,8.0128,1363.72,9.1203,86.087
2020-10-02,1.173,123.4,0.9067299999999999,1.6372,92.0825,7.9656,1364.68,9.091000000000001,86.0375
2020-10-01,1.1752,123.98,0.90723,1.6319,90.605,7.9805,1365.03,9.1082,85.8275
2020-09-30,1.1708,123.76,0.91235,1.6438,91.7763,7.972,1368.51,9.0742,86.29899999999999
2020-09-29,1.1702,123.61,0.9096299999999999,1.6412,92.1625,7.9777,1365.89,9.0691,86.275
2020-09-28,1.167,123.02,0.9050799999999999,1.6513,91.8152,7.9510000000000005,1364.72,9.0443,86.0255
2020-09-25,1.1634,122.74,0.91343,1.6548,90.405,7.9451,1367.57,9.0165,85.7175
2020-09-24,1.1645,122.73,0.91228,1.6539,89.8713,7.9527,1367.55,9.025,86.1145
2020-09-23,1.1692,122.91,0.91885,1.6439,89.7875,7.9433,1362.8,9.0614,85.9845
2020-09-22,1.1740000000000002,122.78,0.91743,1.6288,89.15,7.955,1363.87,9.0986,86.262
2020-09-21,1.1787,122.7,0.9160799999999999,1.624,89.9825,7.9992,1372.84,9.1349,86.695
2020-09-18,1.1833,123.49,0.9131799999999999,1.6242,89.1439,8.0146,1375.96,9.1707,87.014
2020-09-17,1.1797,123.38,0.9153,1.6152,88.6075,7.9861,1383.16,9.1428,86.861
