Date,JPY
2020-10-30,122.36
2020-10-29,122.09
2020-10-28,122.36
2020-10-27,123.74
2020-10-26,124.14
2020-10-23,124.17
2020-10-22,123.72
2020-10-21,124.27
2020-10-20,124.79
2020-10-19,124.11
2020-10-16,123.59
2020-10-15,123.15
2020-10-14,123.7
2020-10-13,124.38
2020-10-12,124.41
2020-10-09,124.95
2020-10-08,124.69
2020-10-07,124.73
2020-10-06,124.58
2020-10-05,124.25
2020-10-02,123.4
2020-10-01,123.98
2020-09-30,123.76
2020-09-29,123.61
2020-09-28,123.02
2020-09-25,122.74
2020-09-24,122.73
2020-09-23,122.91
2020-09-22,122.78
2020-09-21,122.7
2020-09-18,123.49
2020-09-17,123.38
2020-09-16,124.72
2020-09-15,125.39
2020-09-14,125.82
2020-09-11,125.82
2020-09-10,125.76
2020-09-09,125.05
2020-09-08,125.2
2020-09-07,125.59
2020-09-04,125.79
2020-09-03,125.85
2020-09-02,126.0
2020-09-01,126.92
2020-08-31,126.47
2020-08-28,125.39
2020-08-27,125.34
2020-08-26,125.34
2020-08-25,125.67
2020-08-24,125.26
2020-08-21,124.53
2020-08-20,125.46
2020-08-19,125.74
2020-08-18,125.54
2020-08-17,125.99
2020-08-14,126.01
2020-08-13,126.58
2020-08-12,125.92
2020-08-11,124.97
2020-08-10,124.74
2020-08-07,124.91
2020-08-06,124.96
2020-08-05,125.37
2020-08-04,124.78
2020-08-03,124.51
2020-07-31,124.31
2020-07-30,123.58
2020-07-29,123.28
2020-07-28,123.34
2020-07-27,123.88
2020-07-24,123.36
2020-07-23,123.98
2020-07-22,123.94
2020-07-21,122.7
2020-07-20,122.63
2020-07-17,122.53
2020-07-16,122.24
2020-07-15,122.25
2020-07-14,122.17
2020-07-13,121.4
2020-07-10,120.48
2020-07-09,121.67
2020-07-08,121.39
2020-07-07,121.61
2020-07-06,121.78
2020-07-03,120.68
2020-07-02,121.24
2020-07-01,120.31
2020-06-30,120.66
2020-06-29,121.07
2020-06-26,119.93
2020-06-25,120.25
2020-06-24,120.3
2020-06-23,121.05
2020-06-22,119.89
2020-06-19,119.77
2020-06-18,120.0
2020-06-17,120.65
2020-06-16,121.39
2020-06-15,120.83
2020-06-12,121.26
2020-06-11,121.52
2020-06-10,122.16
2020-06-09,122.14
2020-06-08,123.41
2020-06-05,123.77
2020-06-04,122.48
2020-06-03,121.54
2020-06-02,120.83
2020-06-01,119.75
2020-05-29,119.29
2020-05-28,118.68
2020-05-27,118.58
2020-05-26,117.92
2020-05-25,117.47
2020-05-22,117.26
2020-05-21,118.42
2020-05-20,117.95
2020-05-19,118.0
2020-05-18,116.31
2020-05-15,115.53
2020-05-14,115.48
2020-05-13,116.28
2020-05-12,116.56
2020-05-11,116.16
2020-05-08,115.34
2020-05-07,114.91
2020-05-06,114.65
2020-05-05,115.71
2020-05-04,116.84
2020-04-30,115.87
2020-04-29,115.52
2020-04-28,116.06
2020-04-27,116.22
2020-04-24,116.22
2020-04-23,115.75
2020-04-22,117.01
2020-04-21,116.39
2020-04-20,117.11
2020-04-17,116.86
2020-04-16,117.12
2020-04-15,117.12
2020-04-14,117.66
2020-04-09,118.33
2020-04-08,118.36
2020-04-07,118.55
2020-04-06,117.54
2020-04-03,117.1
2020-04-02,117.06
2020-04-01,117.55
2020-03-31,118.9
2020-03-30,119.34
2020-03-27,119.36
2020-03-26,120.18
2020-03-25,120.67
2020-03-24,119.99
2020-03-23,119.11
2020-03-20,118.37
2020-03-19,118.63
2020-03-18,117.78
2020-03-17,117.5
2020-03-16,117.76
2020-03-13,119.11
2020-03-12,116.84
2020-03-11,118.55
2020-03-10,118.65
2020-03-09,117.12
2020-03-06,119.08
2020-03-05,119.63
2020-03-04,119.58
2020-03-03,119.77
2020-03-02,119.82
2020-02-28,119.36
2020-02-27,120.46
2020-02-26,120.13
2020-02-25,119.92
2020-02-24,120.52
2020-02-21,120.96
2020-02-20,120.86
2020-02-19,119.35
2020-02-18,118.7
2020-02-17,119.05
2020-02-14,119.11
2020-02-13,119.21
2020-02-12,120.03
2020-02-11,119.73
2020-02-10,120.18
2020-02-07,120.51
2020-02-06,120.87
2020-02-05,120.94
2020-02-04,120.52
2020-02-03,120.1
2020-01-31,120.35
2020-01-30,120.03
2020-01-29,120.06
2020-01-28,120.02
2020-01-27,120.11
2020-01-24,120.96
2020-01-23,121.5
2020-01-22,121.93
2020-01-21,122.31
2020-01-20,122.14
2020-01-17,122.31
2020-01-16,122.8
2020-01-15,122.43
2020-01-14,122.32
2020-01-13,122.25
2020-01-10,121.6
2020-01-09,121.54
2020-01-08,120.86
2020-01-07,121.15
2020-01-06,121.02
2020-01-03,120.54
2020-01-02,121.75
2019-12-31,121.94
2019-12-30,122.19
2019-12-27,122.23
2019-12-24,121.19
2019-12-23,121.18
2019-12-20,121.31
2019-12-19,121.73
2019-12-18,121.81
2019-12-17,122.31
2019-12-16,121.97
2019-12-13,122.43
2019-12-12,120.95
2019-12-11,120.44
2019-12-10,120.27
2019-12-09,120.15
2019-12-06,120.44
2019-12-05,120.69
2019-12-04,120.45
2019-12-03,120.39
2019-12-02,120.75
2019-11-29,120.43
2019-11-28,120.5
2019-11-27,120.18
2019-11-26,120.09
2019-11-25,119.88
2019-11-22,120.03
2019-11-21,120.46
2019-11-20,119.96
2019-11-19,120.46
2019-11-18,120.55
2019-11-15,119.95
2019-11-14,119.49
2019-11-13,119.79
2019-11-12,120.24
2019-11-11,120.29
2019-11-08,120.72
2019-11-07,120.9
2019-11-06,120.88
