Date,KRW
2020-10-30,1324.2
2020-10-29,1326.92
2020-10-28,1332.51
2020-10-27,1332.89
2020-10-26,1338.31
2020-10-23,1338.52
2020-10-22,1341.66
2020-10-21,1343.08
2020-10-20,1346.35
2020-10-19,1341.33
2020-10-16,1341.16
2020-10-15,1344.08
2020-10-14,1346.7
2020-10-13,1351.0
2020-10-12,1355.3
2020-10-09,1350.52
2020-10-08,1355.48
2020-10-07,1362.7
2020-10-06,1368.49
2020-10-05,1363.72
2020-10-02,1364.68
2020-10-01,1365.03
2020-09-30,1368.51
2020-09-29,1365.89
2020-09-28,1364.72
2020-09-25,1367.57
2020-09-24,1367.55
2020-09-23,1362.8
2020-09-22,1363.87
2020-09-21,1372.84
2020-09-18,1375.96
2020-09-17,1383.16
2020-09-16,1390.72
2020-09-15,1400.73
2020-09-14,1404.73
2020-09-11,1407.07
2020-09-10,1405.84
2020-09-09,1397.84
2020-09-08,1402.14
2020-09-07,1405.09
2020-09-04,1409.07
2020-09-03,1406.65
2020-09-02,1408.07
2020-09-01,1420.12
2020-08-31,1415.76
2020-08-28,1407.24
2020-08-27,1399.75
2020-08-26,1398.97
2020-08-25,1402.12
2020-08-24,1406.32
2020-08-21,1403.15
2020-08-20,1408.22
2020-08-19,1405.97
2020-08-18,1410.08
2020-08-17,1405.87
2020-08-14,1402.11
2020-08-13,1402.22
2020-08-12,1393.92
2020-08-11,1393.79
2020-08-10,1396.28
2020-08-07,1401.9
2020-08-06,1404.99
2020-08-05,1405.74
2020-08-04,1406.49
2020-08-03,1401.26
2020-07-31,1409.56
2020-07-30,1404.16
2020-07-29,1400.22
2020-07-28,1406.13
2020-07-27,1407.15
2020-07-24,1396.83
2020-07-23,1389.31
2020-07-22,1384.38
2020-07-21,1367.96
2020-07-20,1377.07
2020-07-17,1376.55
2020-07-16,1373.74
2020-07-15,1373.55
2020-07-14,1371.98
2020-07-13,1361.37
2020-07-10,1354.7
2020-07-09,1354.35
2020-07-08,1348.86
2020-07-07,1349.06
2020-07-06,1350.51
2020-07-03,1346.54
2020-07-02,1353.9
2020-07-01,1347.84
2020-06-30,1345.83
2020-06-29,1352.81
2020-06-26,1346.19
2020-06-25,1347.73
2020-06-24,1356.39
2020-06-23,1366.51
2020-06-22,1361.3
2020-06-19,1353.53
2020-06-18,1359.26
2020-06-17,1362.21
2020-06-16,1369.11
2020-06-15,1366.08
2020-06-12,1360.45
2020-06-11,1359.18
2020-06-10,1352.17
2020-06-09,1353.3
2020-06-08,1353.2
2020-06-05,1365.57
2020-06-04,1368.73
2020-06-03,1364.09
2020-06-02,1364.42
2020-06-01,1364.44
2020-05-29,1376.21
2020-05-28,1363.76
2020-05-27,1359.04
2020-05-26,1352.23
2020-05-25,1354.63
2020-05-22,1353.51
2020-05-21,1354.6
2020-05-20,1345.71
2020-05-19,1341.19
2020-05-18,1332.42
2020-05-15,1332.6
2020-05-14,1329.17
2020-05-13,1331.08
2020-05-12,1326.17
2020-05-11,1325.57
2020-05-08,1322.41
2020-05-07,1320.18
2020-05-06,1323.48
2020-05-05,1324.81
2020-05-04,1340.0
2020-04-30,1313.09
2020-04-29,1321.59
2020-04-28,1325.8
2020-04-27,1328.82
2020-04-24,1332.59
2020-04-23,1326.8
