Date,AUD
2020-10-30,1.6563
2020-10-29,1.6673
2020-10-28,1.6603
2020-10-27,1.6585
2020-10-26,1.6592
2020-10-23,1.6578
2020-10-22,1.6644
2020-10-21,1.6733
2020-10-20,1.6801
2020-10-19,1.6575
2020-10-16,1.6555
2020-10-15,1.6554
2020-10-14,1.6378
2020-10-13,1.6403
2020-10-12,1.6357
2020-10-09,1.6405
2020-10-08,1.6421
2020-10-07,1.65
2020-10-06,1.6472
2020-10-05,1.6379
2020-10-02,1.6372
2020-10-01,1.6319
2020-09-30,1.6438
2020-09-29,1.6412
2020-09-28,1.6513
2020-09-25,1.6548
2020-09-24,1.6539
2020-09-23,1.6439
2020-09-22,1.6288
2020-09-21,1.624
2020-09-18,1.6242
2020-09-17,1.6152
2020-09-16,1.6174
2020-09-15,1.6219
2020-09-14,1.6327
2020-09-11,1.6244
2020-09-10,1.6282
2020-09-09,1.6264
2020-09-08,1.6286
2020-09-07,1.6232
2020-09-04,1.6291
2020-09-03,1.6219
2020-09-02,1.6171
2020-09-01,1.6242
2020-08-31,1.6214
2020-08-28,1.6216
2020-08-27,1.6291
2020-08-26,1.6371
2020-08-25,1.6472
2020-08-24,1.6454
2020-08-21,1.6442
2020-08-20,1.6544
2020-08-19,1.6428
2020-08-18,1.6447
2020-08-17,1.6485
2020-08-14,1.6525
2020-08-13,1.6522
2020-08-12,1.6514
2020-08-11,1.6406
2020-08-10,1.6445
2020-08-07,1.6403
2020-08-06,1.6492
2020-08-05,1.6415
2020-08-04,1.6495
2020-08-03,1.6508
2020-07-31,1.6488
2020-07-30,1.6446
2020-07-29,1.6348
2020-07-28,1.6412
2020-07-27,1.6472
2020-07-24,1.6376
2020-07-23,1.6246
2020-07-22,1.6139
2020-07-21,1.6154
2020-07-20,1.6359
2020-07-17,1.636
2020-07-16,1.6338
2020-07-15,1.6293
2020-07-14,1.6348
2020-07-13,1.6248
2020-07-10,1.6247
2020-07-09,1.6239
2020-07-08,1.6242
2020-07-07,1.6261
2020-07-06,1.6230000000000002
2020-07-03,1.6175
2020-07-02,1.6296
2020-07-01,1.6268
2020-06-30,1.6344
2020-06-29,1.6406
2020-06-26,1.6313
2020-06-25,1.6321
2020-06-24,1.6342
2020-06-23,1.6272
2020-06-22,1.6292
2020-06-19,1.6261
2020-06-18,1.6356
2020-06-17,1.6292
2020-06-16,1.6324
2020-06-15,1.6476
2020-06-12,1.6447
2020-06-11,1.6421
2020-06-10,1.6219999999999999
2020-06-09,1.6267
2020-06-08,1.6156
2020-06-05,1.6227
2020-06-04,1.6276
2020-06-03,1.6280000000000001
2020-06-02,1.631
2020-06-01,1.6488
2020-05-29,1.6681
2020-05-28,1.6624
2020-05-27,1.6565
2020-05-26,1.6539
2020-05-25,1.6678
2020-05-22,1.6694
2020-05-21,1.671
2020-05-20,1.6653
2020-05-19,1.6751
2020-05-18,1.6736
