Date,HKD
2020-10-30,9.0706
2020-10-29,9.0735
2020-10-28,9.0885
2020-10-27,9.1699
2020-10-26,9.1598
2020-10-23,9.1885
2020-10-22,9.1614
2020-10-21,9.1854
2020-10-20,9.1528
2020-10-19,9.1334
2020-10-16,9.0993
2020-10-15,9.066
2020-10-14,9.1063
2020-10-13,9.135
2020-10-12,9.1443
2020-10-09,9.1412
2020-10-08,9.1181
2020-10-07,9.1219
2020-10-06,9.1412
2020-10-05,9.1203
2020-10-02,9.091000000000001
2020-10-01,9.1082
2020-09-30,9.0742
2020-09-29,9.0691
2020-09-28,9.0443
2020-09-25,9.0165
2020-09-24,9.025
2020-09-23,9.0614
2020-09-22,9.0986
2020-09-21,9.1349
2020-09-18,9.1707
2020-09-17,9.1428
2020-09-16,9.1985
2020-09-15,9.2164
2020-09-14,9.2041
2020-09-11,9.1871
2020-09-10,9.1834
2020-09-09,9.1246
2020-09-08,9.1338
2020-09-07,9.1641
2020-09-04,9.177999999999999
2020-09-03,9.1555
2020-09-02,9.1925
2020-09-01,9.29
2020-08-31,9.2536
2020-08-28,9.2345
2020-08-27,9.1497
2020-08-26,9.1368
2020-08-25,9.1563
2020-08-24,9.1817
2020-08-21,9.1212
2020-08-20,9.184
2020-08-19,9.2483
2020-08-18,9.2274
2020-08-17,9.1864
2020-08-14,9.1555
2020-08-13,9.1709
2020-08-12,9.1236
2020-08-11,9.132
2020-08-10,9.1166
2020-08-07,9.1585
2020-08-06,9.1786
2020-08-05,9.1871
2020-08-04,9.1179
2020-08-03,9.0882
2020-07-31,9.1825
2020-07-30,9.1011
2020-07-29,9.0869
2020-07-28,9.081
2020-07-27,9.1154
2020-07-24,8.9978
2020-07-23,8.9676
2020-07-22,8.9741
2020-07-21,8.8704
2020-07-20,8.8744
2020-07-17,8.8617
2020-07-16,8.851
2020-07-15,8.8718
2020-07-14,8.8171
2020-07-13,8.7809
2020-07-10,8.7396
2020-07-09,8.7901
2020-07-08,8.7468
2020-07-07,8.7499
2020-07-06,8.7769
2020-07-03,8.6987
2020-07-02,8.7469
2020-07-01,8.6808
2020-06-30,8.6788
2020-06-29,8.7456
2020-06-26,8.6904
2020-06-25,8.6805
2020-06-24,8.7421
2020-06-23,8.7716
2020-06-22,8.6902
2020-06-19,8.6889
2020-06-18,8.6972
2020-06-17,8.7049
2020-06-16,8.7634
2020-06-15,8.7211
2020-06-12,8.7607
2020-06-11,8.795
2020-06-10,8.8157
2020-06-09,8.753
