Date,INR
2020-10-30,87.1115
2020-10-29,87.0865
2020-10-28,86.804
2020-10-27,87.1635
2020-10-26,87.5485
2020-10-23,87.3245
2020-10-22,87.11200000000001
2020-10-21,87.3745
2020-10-20,86.8465
2020-10-19,86.3945
2020-10-16,86.0715
2020-10-15,85.95100000000001
2020-10-14,86.0995
2020-10-13,86.425
2020-10-12,86.476
2020-10-09,86.1985
2020-10-08,86.186
2020-10-07,86.26299999999999
2020-10-06,86.5715
2020-10-05,86.087
2020-10-02,86.0375
2020-10-01,85.8275
2020-09-30,86.29899999999999
2020-09-29,86.275
2020-09-28,86.0255
2020-09-25,85.7175
2020-09-24,86.1145
2020-09-23,85.9845
2020-09-22,86.262
2020-09-21,86.695
2020-09-18,87.014
2020-09-17,86.861
2020-09-16,87.2665
2020-09-15,87.5205
2020-09-14,87.3415
2020-09-11,87.2431
2020-09-10,87.03399999999999
2020-09-09,86.6065
2020-09-08,87.10600000000001
2020-09-07,86.8485
2020-09-04,86.678
2020-09-03,86.8615
2020-09-02,86.8225
2020-09-01,87.4085
2020-08-31,87.4685
2020-08-28,87.2125
2020-08-27,87.2655
2020-08-26,87.613
2020-08-25,87.7165
2020-08-24,87.772
2020-08-21,88.198
2020-08-20,88.992
2020-08-19,89.316
2020-08-18,88.87899999999999
2020-08-17,88.6895
2020-08-14,88.46799999999999
2020-08-13,88.564
2020-08-12,88.051
2020-08-11,87.86200000000001
2020-08-10,88.1125
2020-08-07,88.633
2020-08-06,88.765
2020-08-05,88.709
2020-08-04,88.3805
2020-08-03,88.1805
2020-07-31,88.6355
2020-07-30,87.94
2020-07-29,87.694
2020-07-28,87.714
2020-07-27,87.885
2020-07-24,86.866
2020-07-23,86.57700000000001
2020-07-22,86.288
2020-07-21,85.3805
2020-07-20,85.6355
2020-07-17,85.67
2020-07-16,85.8555
2020-07-15,85.971
2020-07-14,85.7725
2020-07-13,85.21600000000001
2020-07-10,84.84100000000001
2020-07-09,85.0455
2020-07-08,84.6455
2020-07-07,84.4645
2020-07-06,84.4535
2020-07-03,83.821
2020-07-02,84.354
2020-07-01,84.62200000000001
2020-06-30,84.6235
2020-06-29,85.19200000000001
2020-06-26,84.8215
2020-06-25,84.712
2020-06-24,85.3285
2020-06-23,85.43799999999999
2020-06-22,85.2585
2020-06-19,85.352
2020-06-18,85.67299999999999
2020-06-17,85.5505
2020-06-16,86.04799999999999
2020-06-15,85.5275
2020-06-12,85.7875
2020-06-11,86.057
2020-06-10,85.90299999999999
2020-06-09,85.3085
2020-06-08,85.241
2020-06-05,85.63
2020-06-04,84.932
2020-06-03,84.5055
2020-06-02,84.039
2020-06-01,83.93799999999999
2020-05-29,84.1025
2020-05-28,83.4635
2020-05-27,83.245
2020-05-26,82.927
2020-05-25,82.7925
2020-05-22,82.7265
2020-05-21,83.0545
2020-05-20,82.8635
