Date,RUB
2020-10-30,92.4606
2020-10-29,93.0481
2020-10-28,92.3025
2020-10-27,90.571
2020-10-26,90.2935
2020-10-23,90.6421
2020-10-22,90.8256
2020-10-21,91.4095
2020-10-20,92.0238
2020-10-19,91.4401
2020-10-16,91.5767
2020-10-15,91.4345
2020-10-14,90.9325
2020-10-13,90.8041
2020-10-12,90.765
2020-10-09,90.9413
2020-10-08,91.0675
2020-10-07,91.9715
2020-10-06,91.772
2020-10-05,92.5353
2020-10-02,92.0825
2020-10-01,90.605
2020-09-30,91.7763
2020-09-29,92.1625
2020-09-28,91.8152
2020-09-25,90.405
2020-09-24,89.8713
2020-09-23,89.7875
2020-09-22,89.15
2020-09-21,89.9825
2020-09-18,89.1439
2020-09-17,88.6075
2020-09-16,88.8038
2020-09-15,89.1013
2020-09-14,89.5924
2020-09-11,88.7275
2020-09-10,88.89
2020-09-09,89.3613
2020-09-08,90.0213
2020-09-07,89.8231
2020-09-04,88.973
2020-09-03,88.9825
2020-09-02,88.0675
2020-09-01,88.1474
2020-08-31,88.2993
2020-08-28,88.625
2020-08-27,88.64
2020-08-26,89.3568
2020-08-25,88.36
2020-08-24,87.9975
2020-08-21,87.735
2020-08-20,87.63
2020-08-19,87.5706
2020-08-18,87.0531
2020-08-17,87.15
2020-08-14,86.585
2020-08-13,87.1809
2020-08-12,86.3013
2020-08-11,85.6858
2020-08-10,86.6154
2020-08-07,86.9753
2020-08-06,86.9321
2020-08-05,86.3692
2020-08-04,86.7275
2020-08-03,86.6018
2020-07-31,87.69
2020-07-30,86.6233
2020-07-29,84.9125
2020-07-28,84.8413
2020-07-27,84.0682
2020-07-24,83.3938
2020-07-23,82.5723
2020-07-22,81.9588
2020-07-21,81.0833
2020-07-20,81.875
2020-07-17,81.8409
2020-07-16,81.1888
2020-07-15,81.0468
2020-07-14,80.837
2020-07-13,80.14699999999999
2020-07-10,80.2104
2020-07-09,80.0425
2020-07-08,80.4584
2020-07-07,80.8888
2020-07-06,81.3769
2020-07-03,80.2153
2020-07-02,79.4434
2020-07-01,79.6793
2020-06-30,79.63
2020-06-29,78.9169
2020-06-26,77.88
2020-06-25,77.7516
2020-06-24,78.0079
2020-06-23,77.7474
2020-06-22,77.8799
2020-06-19,77.6565
2020-06-18,78.2063
2020-06-17,78.1853
2020-06-16,78.439
2020-06-15,78.8516
2020-06-12,78.7662
2020-06-11,78.4949
2020-06-10,78.1468
2020-06-09,77.7388
2020-06-08,77.0563
2020-06-05,77.8155
2020-06-04,77.8132
2020-06-03,77.0055
2020-06-02,76.8001
2020-06-01,77.4378
2020-05-29,78.4416
2020-05-28,77.9343
2020-05-27,78.1096
2020-05-26,77.7494
2020-05-25,78.2874
2020-05-22,77.9139
2020-05-21,77.9883
2020-05-20,78.6001
2020-05-19,79.3839
2020-05-18,78.908
2020-05-15,79.6208
2020-05-14,80.0145
2020-05-13,79.5893
2020-05-12,79.4157
2020-05-11,79.6981
2020-05-08,79.8383
2020-05-07,79.5801
2020-05-06,80.7789
2020-05-05,80.4713
2020-05-04,82.3404
2020-04-30,79.892
2020-04-29,79.821
2020-04-28,80.6862
2020-04-27,80.4926
2020-04-24,80.3991
2020-04-23,80.6062
2020-04-22,83.1961
2020-04-21,83.2936
2020-04-20,80.9728
2020-04-17,80.365
2020-04-16,80.62100000000001
2020-04-15,81.2045
2020-04-14,80.3923
2020-04-09,80.69
2020-04-08,82.1046
2020-04-07,82.5675
2020-04-06,82.48100000000001
2020-04-03,82.8075
2020-04-02,85.8405
2020-04-01,86.475
2020-03-31,85.9486
2020-03-30,88.1385
2020-03-27,86.3819
2020-03-26,85.31
2020-03-25,84.8015
2020-03-24,85.1561
2020-03-23,86.08
2020-03-20,85.1038
2020-03-19,86.9346
2020-03-18,87.0959
2020-03-17,82.346
2020-03-16,83.5905
2020-03-13,80.7385
2020-03-12,84.0284
2020-03-11,81.3785
2020-03-10,81.5975
2020-03-09,85.1553
2020-03-06,77.5058
2020-03-05,74.307
2020-03-04,73.218
2020-03-03,74.005
2020-03-02,74.56
2020-02-28,73.6096
2020-02-27,72.1052
2020-02-26,71.2368
2020-02-25,70.7943
2020-02-24,70.6675
2020-02-21,69.548
2020-02-20,68.806
2020-02-19,68.6245
2020-02-18,68.9685
2020-02-17,68.7554
2020-02-14,68.9116
2020-02-13,69.0209
2020-02-12,68.753
2020-02-11,69.3198
2020-02-10,70.112
2020-02-07,70.0203
2020-02-06,69.4575
2020-02-05,69.032
2020-02-04,69.8725
2020-02-03,70.5988
2020-01-31,70.3375
2020-01-30,69.6719
2020-01-29,68.9755
2020-01-28,68.9032
2020-01-27,69.0442
2020-01-24,68.1692
2020-01-23,68.6301
2020-01-22,68.6934
2020-01-21,68.73
2020-01-20,68.2075
2020-01-17,68.2495
2020-01-16,68.8102
2020-01-15,68.4386
2020-01-14,68.2418
2020-01-13,68.0893
2020-01-10,68.041
2020-01-09,68.0757
2020-01-08,68.6389
2020-01-07,69.2576
2020-01-06,69.4047
2020-01-03,69.119
2020-01-02,69.1893
2019-12-31,69.9563
2019-12-30,69.2781
2019-12-27,69.2013
2019-12-24,68.7932
2019-12-23,69.0297
2019-12-20,68.9657
2019-12-19,69.4593
2019-12-18,69.5288
2019-12-17,69.8758
2019-12-16,69.8317
2019-12-13,69.993
2019-12-12,70.0885
2019-12-11,70.3925
2019-12-10,70.4627
2019-12-09,70.5731
2019-12-06,70.7441
2019-12-05,70.7798
2019-12-04,70.7959
2019-12-03,71.0634
2019-12-02,70.9217
2019-11-29,70.5544
2019-11-28,70.5328
2019-11-27,70.4425
2019-11-26,70.5445
2019-11-25,70.4399
2019-11-22,70.4361
2019-11-21,70.6406
2019-11-20,70.7748
2019-11-19,70.6272
2019-11-18,70.6242
2019-11-15,70.3938
2019-11-14,70.4908
2019-11-13,70.8149
2019-11-12,70.4859
2019-11-11,70.5319
2019-11-08,70.4653
2019-11-07,70.579
2019-11-06,70.6538
