Date,USD
2020-10-30,1.1698
2020-10-29,1.1704
2020-10-28,1.1727
2020-10-27,1.1832
2020-10-26,1.1819
2020-10-23,1.1856
2020-10-22,1.1821
2020-10-21,1.1852
2020-10-20,1.181
2020-10-19,1.1785
2020-10-16,1.1741
2020-10-15,1.1698
2020-10-14,1.175
2020-10-13,1.1787
2020-10-12,1.1799
2020-10-09,1.1795
2020-10-08,1.1765
2020-10-07,1.177
2020-10-06,1.1795
2020-10-05,1.1768
2020-10-02,1.173
2020-10-01,1.1752
2020-09-30,1.1708
2020-09-29,1.1702
2020-09-28,1.167
2020-09-25,1.1634
2020-09-24,1.1645
2020-09-23,1.1692
2020-09-22,1.1740000000000002
2020-09-21,1.1787
2020-09-18,1.1833
2020-09-17,1.1797
2020-09-16,1.1869
2020-09-15,1.1892
2020-09-14,1.1876
2020-09-11,1.1854
2020-09-10,1.1849
2020-09-09,1.1773
2020-09-08,1.1785
2020-09-07,1.1824
2020-09-04,1.1842
2020-09-03,1.1813
2020-09-02,1.1861
2020-09-01,1.1987
2020-08-31,1.194
2020-08-28,1.1915
2020-08-27,1.1806
2020-08-26,1.1789
2020-08-25,1.1814
2020-08-24,1.1847
2020-08-21,1.1769
2020-08-20,1.185
2020-08-19,1.1933
2020-08-18,1.1906
2020-08-17,1.1853
2020-08-14,1.1813
2020-08-13,1.1833
2020-08-12,1.1771
2020-08-11,1.1783
2020-08-10,1.1763
2020-08-07,1.1817
2020-08-06,1.1843
2020-08-05,1.1854
2020-08-04,1.1765
2020-08-03,1.1726
2020-07-31,1.1848
2020-07-30,1.1743
2020-07-29,1.1725
2020-07-28,1.1717
2020-07-27,1.176
2020-07-24,1.1608
2020-07-23,1.1569
2020-07-22,1.1578
2020-07-21,1.1443
2020-07-20,1.1448
2020-07-17,1.1428
2020-07-16,1.1414
2020-07-15,1.1444
2020-07-14,1.1375
2020-07-13,1.1329
2020-07-10,1.1276
2020-07-09,1.1342
2020-07-08,1.1286
2020-07-07,1.129
2020-07-06,1.1325
2020-07-03,1.1224
2020-07-02,1.1286
2020-07-01,1.12
2020-06-30,1.1198
2020-06-29,1.1284
2020-06-26,1.1213
2020-06-25,1.12
2020-06-24,1.128
2020-06-23,1.1318
2020-06-22,1.1213
2020-06-19,1.121
2020-06-18,1.1222
2020-06-17,1.1232
2020-06-16,1.1308
2020-06-15,1.1253
2020-06-12,1.1304
2020-06-11,1.1348
2020-06-10,1.1375
2020-06-09,1.1294
2020-06-08,1.1285
2020-06-05,1.133
2020-06-04,1.125
2020-06-03,1.1194
2020-06-02,1.1174
2020-06-01,1.1116
2020-05-29,1.1136
2020-05-28,1.1016
2020-05-27,1.0991
2020-05-26,1.0975
2020-05-25,1.091
2020-05-22,1.0904
2020-05-21,1.1
2020-05-20,1.0958
2020-05-19,1.095
2020-05-18,1.0832
2020-05-15,1.0798
2020-05-14,1.0792
2020-05-13,1.0875
2020-05-12,1.0858
2020-05-11,1.0824
2020-05-08,1.0843
2020-05-07,1.0783
2020-05-06,1.0807
2020-05-05,1.0843
2020-05-04,1.0942
2020-04-30,1.0876
2020-04-29,1.0842
2020-04-28,1.0877
2020-04-27,1.0852
2020-04-24,1.08
2020-04-23,1.0772
2020-04-22,1.0867
2020-04-21,1.0837
2020-04-20,1.0859999999999999
2020-04-17,1.0859999999999999
2020-04-16,1.0888
2020-04-15,1.0903
2020-04-14,1.0963
2020-04-09,1.0867
2020-04-08,1.0871
2020-04-07,1.0885
2020-04-06,1.0791
2020-04-03,1.0785
2020-04-02,1.0906
2020-04-01,1.0936
2020-03-31,1.0956
2020-03-30,1.1034
2020-03-27,1.0977
2020-03-26,1.0981
2020-03-25,1.0827
2020-03-24,1.0843
2020-03-23,1.0783
2020-03-20,1.0707
2020-03-19,1.0801
2020-03-18,1.0934
2020-03-17,1.0982
2020-03-16,1.1157
2020-03-13,1.1104
2020-03-12,1.124
2020-03-11,1.1336
2020-03-10,1.139
2020-03-09,1.1456
2020-03-06,1.1336
2020-03-05,1.1187
2020-03-04,1.1125
2020-03-03,1.1117
2020-03-02,1.1122
2020-02-28,1.0977
2020-02-27,1.0964
2020-02-26,1.0875
2020-02-25,1.084
2020-02-24,1.0818
2020-02-21,1.0801
2020-02-20,1.079
2020-02-19,1.08
2020-02-18,1.0816
2020-02-17,1.0835
2020-02-14,1.0842
2020-02-13,1.0867
2020-02-12,1.0914
2020-02-11,1.0901
2020-02-10,1.0951
2020-02-07,1.0969
2020-02-06,1.1003
2020-02-05,1.1023
2020-02-04,1.1048
2020-02-03,1.1066
2020-01-31,1.1052
2020-01-30,1.1029
2020-01-29,1.1001
2020-01-28,1.1005
2020-01-27,1.1025
2020-01-24,1.1035
2020-01-23,1.1091
2020-01-22,1.1088
2020-01-21,1.1115
2020-01-20,1.1085
2020-01-17,1.1108
2020-01-16,1.1169
2020-01-15,1.1142
2020-01-14,1.1115
2020-01-13,1.1126
2020-01-10,1.1091
2020-01-09,1.111
2020-01-08,1.1115
2020-01-07,1.1172
2020-01-06,1.1194
2020-01-03,1.1147
2020-01-02,1.1193
2019-12-31,1.1234
2019-12-30,1.1189
2019-12-27,1.1153
2019-12-24,1.1079999999999999
2019-12-23,1.1075
2019-12-20,1.1097
2019-12-19,1.1117
2019-12-18,1.1115
2019-12-17,1.1162
2019-12-16,1.1146
2019-12-13,1.1174
2019-12-12,1.1137
2019-12-11,1.1075
2019-12-10,1.1077
2019-12-09,1.1075
2019-12-06,1.1094
2019-12-05,1.1094
2019-12-04,1.1081
2019-12-03,1.1071
2019-12-02,1.1023
2019-11-29,1.0982
2019-11-28,1.1005
2019-11-27,1.1009
2019-11-26,1.102
2019-11-25,1.1008
2019-11-22,1.1058
2019-11-21,1.1091
2019-11-20,1.1059
2019-11-19,1.1077
2019-11-18,1.1061
2019-11-15,1.1034
2019-11-14,1.0997
2019-11-13,1.1006
2019-11-12,1.1015
2019-11-11,1.1041
2019-11-08,1.1034
2019-11-07,1.1077
2019-11-06,1.109
