Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,Unnamed: 42
2020-10-30,1.1698,122.36,1.9558,,27.250999999999998,7.4466,,0.9020799999999999,367.45,,,,4.6222,,4.8725,10.365,,,1.0698,164.4,11.094000000000001,7.5748,92.4606,,9.794,1.6563,6.7607,1.5556,7.8158,9.0706,17108.33,3.9881,87.1115,1324.2,24.8416,4.8588,1.7565,56.635,1.5952,36.439,19.0359,
2020-10-29,1.1704,122.09,1.9558,,27.368000000000002,7.4462,,0.9043,368.0,,,,4.6225,,4.8751,10.4225,,,1.0684,165.0,11.1495,7.5729999999999995,93.0481,,9.7418,1.6673,6.768,1.5658,7.8531,9.0735,17306.12,3.9993,87.0865,1326.92,25.0028,4.8648,1.7677,56.685,1.5988,36.598,19.2322,
2020-10-28,1.1727,122.36,1.9558,,27.421999999999997,7.4435,,0.9066200000000001,367.11,,,,4.6202,,4.8768,10.370999999999999,,,1.0693,164.8,10.9693,7.5778,92.3025,,9.6906,1.6603,6.7191,1.5578,7.8845,9.0885,17288.41,3.9794,86.804,1332.51,24.9759,4.8732,1.7647,56.708,1.6014,36.659,19.2187,
2020-10-27,1.1832,123.74,1.9558,,27.337,7.4406,,0.9071799999999999,365.41,,,,4.5842,,4.8765,10.306,,,1.0732,165.3,10.8398,7.5745,90.571,,9.6466,1.6585,6.6711,1.5589,7.9345,9.1699,17344.17,4.0021,87.1635,1332.89,24.6622,4.9274,1.7639,57.157,1.6078,36.94,19.062,
2020-10-26,1.1819,124.14,1.9558,,27.295,7.4412,,0.90755,365.02,,,,4.5799,,4.8748,10.3475,,,1.0719,165.3,10.9465,7.577999999999999,90.2935,,9.5593,1.6592,6.6714,1.558,7.9342,9.1598,17390.95,3.9965,87.5485,1338.31,24.8705,4.922,1.7677,57.205,1.6095,36.97,19.208,
2020-10-23,1.1856,124.17,1.9558,,27.221999999999998,7.4407,,0.90675,364.17,,,,4.5823,,4.874,10.3618,,,1.0715,164.9,10.9178,7.5778,90.6421,,9.4418,1.6578,6.6052,1.5563,7.9157,9.1885,17410.24,4.0032,87.3245,1338.52,24.753,4.9291,1.7703,57.388000000000005,1.6089,37.056,19.1905,
2020-10-22,1.1821,123.72,1.9558,,27.23,7.4409,,0.9027299999999999,364.6,,,,4.5783,,4.874,10.374,,,1.0726,164.6,10.9325,7.5788,90.8256,,9.3815,1.6644,6.6389,1.5559,7.898,9.1614,17426.16,3.9983,87.11200000000001,1341.66,24.999000000000002,4.8992,1.7739,57.467,1.6043,37.0,19.2759,
2020-10-21,1.1852,124.27,1.9558,,27.185,7.4432,,0.90754,364.01,,,,4.574,,4.8758,10.3645,,,1.0715,164.6,10.9315,7.5755,91.4095,,9.3084,1.6733,6.6118,1.5557,7.8879,9.1854,17342.44,4.013999999999999,87.3745,1343.08,24.9348,4.9115,1.7875,57.538999999999994,1.6067,37.025999999999996,19.4374,
2020-10-20,1.181,124.79,1.9558,,27.233,7.4425,,0.9132899999999999,365.68,,,,4.5809,,4.8761,10.3805,,,1.0724,164.0,10.9698,7.5826,92.0238,,9.3301,1.6801,6.6182,1.5577,7.8918,9.1528,17373.1,3.9911,86.8465,1346.35,25.0315,4.9017,1.8006,57.333,1.6036,36.965,19.5245,
2020-10-19,1.1785,124.11,1.9558,,27.346,7.441,,0.9058799999999999,365.05,,,,4.5723,,4.8768,10.3578,,,1.0724,163.4,10.947000000000001,7.5825,91.4401,,9.3057,1.6575,6.6139,1.5523,7.8767,9.1334,17347.64,3.9836,86.3945,1341.33,24.8118,4.8819,1.7751,57.231,1.599,36.746,19.3806,
2020-10-16,1.1741,123.59,1.9558,,27.279,7.442,,0.90915,364.36,,,,4.5558,,4.8763,10.3593,,,1.0721,163.2,10.957,7.582000000000001,91.5767,,9.33,1.6555,6.6054,1.5497,7.8639,9.0993,17317.86,3.9673,86.0715,1341.16,24.872,4.8708,1.7746,57.148,1.5942,36.608000000000004,19.3867,
2020-10-15,1.1698,123.15,1.9558,,27.34,7.4429,,0.90535,364.58,,,,4.5518,,4.8765,10.378,,,1.0697,163.2,10.9678,7.5818,91.4345,,9.2868,1.6554,6.5942,1.5453,7.8756,9.066,17278.41,3.9734,85.95100000000001,1344.08,25.1559,4.8599,1.7762,57.056000000000004,1.5935,36.574,19.5329,
2020-10-14,1.175,123.7,1.9558,,27.313000000000002,7.4439,,0.90395,363.49,,,,4.5073,,4.8738,10.3653,,,1.0738,163.2,10.8218,7.5785,90.9325,,9.3334,1.6378,6.5426,1.5432,7.9092,9.1063,17311.28,3.9734,86.0995,1346.7,25.1075,4.8768,1.7633,57.244,1.5947,36.648,19.3897,
2020-10-13,1.1787,124.38,1.9558,,27.355999999999998,7.4432,,0.90591,360.2,,,,4.4851,,4.875,10.343,,,1.0734,163.2,10.7923,7.5785,90.8041,,9.3155,1.6403,6.5389,1.545,7.9388,9.135,17403.27,3.9895,86.425,1351.0,25.0183,4.8822,1.7715,57.325,1.6007,36.676,19.4446,
2020-10-12,1.1799,124.41,1.9558,,27.177,7.443,,0.9059799999999999,356.83,,,,4.481,,4.8727,10.3933,,,1.0742,163.2,10.7925,7.5713,90.765,,9.282,1.6357,6.5268,1.5493,7.9578,9.1443,17378.69,3.9933,86.476,1355.3,25.073,4.893,1.7744,57.268,1.6011,36.754,19.480999999999998,
2020-10-09,1.1795,124.95,1.9558,,27.11,7.4422,,0.9116700000000001,356.28,,,,4.4702,,4.8715,10.42,,,1.0773,162.8,10.8623,7.5765,90.9413,,9.3279,1.6405,6.5796,1.5542,7.9047,9.1412,17340.01,3.9859,86.1985,1350.52,25.0833,4.8808,1.7821,57.083,1.5986,36.629,19.4315,
2020-10-08,1.1765,124.69,1.9558,,27.092,7.4423,,0.91035,357.48,,,,4.4843,,4.8758,10.4468,,,1.0799,162.8,10.9038,7.568,91.0675,,9.3304,1.6421,6.5832,1.5583,7.9894,9.1181,17362.2,3.9909,86.186,1355.48,25.1418,4.8854,1.7856,57.004,1.5979,36.724000000000004,19.4995,
2020-10-07,1.177,124.73,1.9558,,27.064,7.4421,,0.9141299999999999,359.25,,,,4.4862,,4.8748,10.482999999999999,,,1.0787,162.8,10.9313,7.5685,91.9715,,9.2722,1.65,6.5448,1.564,7.9934,9.1219,17359.51,4.0044,86.26299999999999,1362.7,25.2609,4.8917,1.7862,56.979,1.5995,36.758,19.5793,
2020-10-06,1.1795,124.58,1.9558,,27.035,7.4408,,0.91058,359.72,,,,4.4872,,4.876,10.5138,,,1.0781,162.8,10.8603,7.5688,91.772,,9.1625,1.6472,6.5363,1.5630000000000002,8.0111,9.1412,17379.93,4.0193,86.5715,1368.49,25.1631,4.8991,1.7733,57.137,1.6032,36.795,19.453,
