,Date,Low,High,Open,Close,Volume
0,2020-10-30,255.13,270.8,267.57,262.25,25680.93694821
1,2020-10-29,258.0,271.58,268.26,267.62,28792.58327746
2,2020-10-28,259.12,280.83,264.51,268.29,53307.10579314
3,2020-10-27,257.27,268.37,259.92,264.53,25325.7827723
4,2020-10-26,252.98,273.51,271.55,259.66,25609.96309331
5,2020-10-25,268.5,276.33,275.79,271.43,15800.94500457
6,2020-10-24,267.91,278.83,270.61,275.92,20451.81827223
7,2020-10-23,264.15,276.12,268.33,270.5,30945.85648942
8,2020-10-22,258.89,274.82,258.89,268.37,46306.54610117
9,2020-10-21,240.21,264.49,240.98,258.94,43224.2693489
10,2020-10-20,237.89,250.25,250.01,240.98,15698.21318803
11,2020-10-19,245.22,252.75,249.7,250.01,12044.9012819
12,2020-10-18,243.8,251.15,244.64,249.75,12872.71390348
13,2020-10-17,241.06,252.56,250.39,244.78,16127.50818526
14,2020-10-16,243.57,266.67,262.39,250.39,44959.14645279
15,2020-10-15,255.51,265.23,259.2,262.39,26582.15261947
16,2020-10-14,250.12,260.74,253.75,259.13,23742.68115888
17,2020-10-13,237.7,255.19,239.79,253.64,28468.43871574
18,2020-10-12,233.31,243.99,239.0,239.81,18996.35794234
19,2020-10-11,236.13,243.68,237.36,239.15,14062.60311665
20,2020-10-10,236.1,246.58,237.14,237.42,22047.80935733
21,2020-10-09,231.94,240.25,234.12,237.25,18027.40093897
22,2020-10-08,221.36,236.31,223.03,234.09,21154.78656637
23,2020-10-07,216.4,224.6,219.62,223.02,12467.14654991
24,2020-10-06,215.18,230.21,222.19,219.69,16079.79205982
25,2020-10-05,218.24,222.87,220.78,222.17,9391.82975661
26,2020-10-04,216.5,222.89,218.33,220.8,8641.09386769
27,2020-10-03,217.72,221.38,219.79,218.59,7415.27017902
28,2020-10-02,212.4,228.18,227.63,219.75,20705.48818095
29,2020-10-01,221.5,234.05,228.02,228.01,14761.1108352
30,2020-09-30,224.82,231.26,229.05,227.91,12712.27463645
31,2020-09-29,224.3,230.35,225.28,229.01,11790.23052783
32,2020-09-28,223.75,234.6,229.46,225.29,28005.19090343
33,2020-09-27,216.3,231.84,221.49,229.39,17647.83437786
34,2020-09-26,212.6,224.34,216.7,221.41,16242.87714681
35,2020-09-25,210.93,218.17,216.23,216.67,19982.06309565
36,2020-09-24,206.34,218.86,207.78,216.23,17005.25609286
37,2020-09-23,203.33,220.05,219.8,207.62,16813.76337564
38,2020-09-22,210.38,220.35,212.34,220.0,18693.47405336
39,2020-09-21,207.45,228.85,226.28,212.54,25436.12639989
40,2020-09-20,222.11,233.4,233.0,226.31,14393.70418508
41,2020-09-19,231.6,237.67,234.06,233.06,12728.23643689
42,2020-09-18,230.14,238.88,232.75,234.0,19926.35281841
43,2020-09-17,229.59,239.21,230.62,232.78,17820.49720396
44,2020-09-16,226.55,235.5,234.93,230.62,28289.89234293
45,2020-09-15,224.12,241.63,225.7,235.12,42660.4096491
46,2020-09-14,219.0,228.8,222.18,225.76,22256.47122401
