,Crypto,Date,Low,High,Open,Close,Volume
0,EOS,2020-10-30,2.402,2.649,2.64,2.51,550128.1
1,EOS,2020-10-29,2.605,2.677,2.655,2.638,258459.5
2,EOS,2020-10-28,2.621,2.755,2.673,2.654,401503.3
3,EOS,2020-10-27,2.628,2.699,2.631,2.675,266275.7
4,EOS,2020-10-26,2.597,2.751,2.714,2.634,347685.1
5,EOS,2020-10-25,2.617,2.744,2.659,2.712,247804.5
6,EOS,2020-10-24,2.617,2.674,2.64,2.661,167397.4
7,EOS,2020-10-23,2.6,2.685,2.669,2.643,207274.1
8,EOS,2020-10-22,2.609,2.708,2.611,2.674,393169.6
9,EOS,2020-10-21,2.523,2.659,2.529,2.609,708318.1
10,EOS,2020-10-20,2.503,2.586,2.58,2.53,273214.9
11,EOS,2020-10-19,2.525,2.612,2.555,2.58,137787.5
12,EOS,2020-10-18,2.519,2.558,2.524,2.553,135458.0
13,EOS,2020-10-17,2.507,2.548,2.541,2.525,134276.2
14,EOS,2020-10-16,2.491,2.612,2.601,2.539,406534.3
15,EOS,2020-10-15,2.581,2.629,2.61,2.599,206931.0
16,EOS,2020-10-14,2.582,2.653,2.64,2.608,244377.0
17,EOS,2020-10-13,2.612,2.665,2.647,2.64,210637.1
18,EOS,2020-10-12,2.609,2.683,2.658,2.644,466938.8
19,EOS,2020-10-11,2.613,2.688,2.643,2.657,285408.8
20,EOS,2020-10-10,2.636,2.721,2.643,2.642,355256.8
21,EOS,2020-10-09,2.582,2.657,2.609,2.642,396082.2
22,EOS,2020-10-08,2.49,2.654,2.647,2.607,985086.9
23,EOS,2020-10-07,2.593,2.715,2.695,2.645,942905.8
24,EOS,2020-10-06,2.487,2.977,2.535,2.696,1976651.7
25,EOS,2020-10-05,2.492,2.538,2.517,2.534,191623.1
26,EOS,2020-10-04,2.466,2.533,2.479,2.516,164551.1
27,EOS,2020-10-03,2.469,2.504,2.481,2.478,168356.9
28,EOS,2020-10-02,2.416,2.555,2.541,2.479,321870.6
29,EOS,2020-10-01,2.488,2.624,2.58,2.54,377046.5
30,EOS,2020-09-30,2.555,2.601,2.599,2.578,226742.0
31,EOS,2020-09-29,2.552,2.604,2.555,2.6,198730.6
32,EOS,2020-09-28,2.554,2.633,2.59,2.561,341807.3
33,EOS,2020-09-27,2.525,2.6,2.566,2.589,221534.4
34,EOS,2020-09-26,2.508,2.605,2.547,2.566,180014.3
35,EOS,2020-09-25,2.464,2.561,2.534,2.545,348688.2
36,EOS,2020-09-24,2.424,2.576,2.441,2.533,294089.7
37,EOS,2020-09-23,2.392,2.58,2.572,2.439,380922.9
38,EOS,2020-09-22,2.49,2.584,2.506,2.572,215673.0
39,EOS,2020-09-21,2.49,2.689,2.668,2.502,551031.1
40,EOS,2020-09-20,2.625,2.699,2.697,2.669,259186.6
41,EOS,2020-09-19,2.68,2.734,2.69,2.702,274550.8
42,EOS,2020-09-18,2.649,2.75,2.738,2.69,344369.4
43,EOS,2020-09-17,2.695,2.776,2.711,2.738,358769.9
44,EOS,2020-09-16,2.581,2.749,2.704,2.712,904116.2
45,EOS,2020-09-15,2.696,2.781,2.733,2.701,416879.0
46,EOS,2020-09-14,2.687,2.767,2.728,2.731,319781.3
47,EOS,2020-09-13,2.676,2.824,2.805,2.726,447821.2
48,EOS,2020-09-12,2.744,2.828,2.786,2.805,311195.1
49,EOS,2020-09-11,2.717,2.821,2.777,2.786,379775.0
50,EOS,2020-09-10,2.742,2.841,2.751,2.777,415482.2
51,EOS,2020-09-09,2.696,2.822,2.761,2.753,441931.3
52,EOS,2020-09-08,2.67,2.861,2.856,2.763,736279.7
53,EOS,2020-09-07,2.661,2.939,2.901,2.855,873492.5
54,EOS,2020-09-06,2.813,3.03,2.934,2.902,665218.2
55,EOS,2020-09-05,2.781,3.15,3.013,2.941,2539891.1
56,EOS,2020-09-04,2.59,3.24,2.619,3.013,1905967.5
57,EOS,2020-09-03,2.502,3.161,3.105,2.625,1468006.3
58,EOS,2020-09-02,2.895,3.5,3.47,3.104,1633562.4
59,EOS,2020-09-01,3.155,3.557,3.211,3.47,1192124.4
60,EOS,2020-08-31,3.195,3.294,3.257,3.211,409559.1
61,EOS,2020-08-30,3.126,3.272,3.126,3.259,716172.8
