,Series Name,Period,Frequency,Value,Units
0,"Cushing, OK WTI Spot Price FOB, Daily",20201026,D,38.39,Dollars per Barrel
1,"Cushing, OK WTI Spot Price FOB, Daily",20201023,D,39.73,Dollars per Barrel
2,"Cushing, OK WTI Spot Price FOB, Daily",20201022,D,40.46,Dollars per Barrel
3,"Cushing, OK WTI Spot Price FOB, Daily",20201021,D,39.88,Dollars per Barrel
4,"Cushing, OK WTI Spot Price FOB, Daily",20201020,D,41.37,Dollars per Barrel
5,"Cushing, OK WTI Spot Price FOB, Daily",20201019,D,40.69,Dollars per Barrel
6,"Cushing, OK WTI Spot Price FOB, Daily",20201016,D,40.7,Dollars per Barrel
7,"Cushing, OK WTI Spot Price FOB, Daily",20201015,D,40.84,Dollars per Barrel
8,"Cushing, OK WTI Spot Price FOB, Daily",20201014,D,40.86,Dollars per Barrel
9,"Cushing, OK WTI Spot Price FOB, Daily",20201013,D,40.03,Dollars per Barrel
10,"Cushing, OK WTI Spot Price FOB, Daily",20201012,D,39.22,Dollars per Barrel
11,"Cushing, OK WTI Spot Price FOB, Daily",20201009,D,40.44,Dollars per Barrel
12,"Cushing, OK WTI Spot Price FOB, Daily",20201008,D,41.04,Dollars per Barrel
13,"Cushing, OK WTI Spot Price FOB, Daily",20201007,D,39.82,Dollars per Barrel
14,"Cushing, OK WTI Spot Price FOB, Daily",20201006,D,40.52,Dollars per Barrel
15,"Cushing, OK WTI Spot Price FOB, Daily",20201005,D,39.12,Dollars per Barrel
16,"Cushing, OK WTI Spot Price FOB, Daily",20201002,D,36.9,Dollars per Barrel
17,"Cushing, OK WTI Spot Price FOB, Daily",20201001,D,38.51,Dollars per Barrel
18,"Cushing, OK WTI Spot Price FOB, Daily",20200930,D,40.05,Dollars per Barrel
19,"Cushing, OK WTI Spot Price FOB, Daily",20200929,D,39.03,Dollars per Barrel
20,"Cushing, OK WTI Spot Price FOB, Daily",20200928,D,40.47,Dollars per Barrel
21,"Cushing, OK WTI Spot Price FOB, Daily",20200925,D,40.06,Dollars per Barrel
22,"Cushing, OK WTI Spot Price FOB, Daily",20200924,D,40.11,Dollars per Barrel
23,"Cushing, OK WTI Spot Price FOB, Daily",20200923,D,39.92,Dollars per Barrel
24,"Cushing, OK WTI Spot Price FOB, Daily",20200922,D,39.55,Dollars per Barrel
25,"Cushing, OK WTI Spot Price FOB, Daily",20200921,D,39.26,Dollars per Barrel
26,"Cushing, OK WTI Spot Price FOB, Daily",20200918,D,41.09,Dollars per Barrel
27,"Cushing, OK WTI Spot Price FOB, Daily",20200917,D,40.99,Dollars per Barrel
28,"Cushing, OK WTI Spot Price FOB, Daily",20200916,D,40.17,Dollars per Barrel
