,Series Name,Period,Frequency,Value,Units
0,"U.S. Ending Stocks of Crude Oil, Weekly",20201023,W,1131850,Thousand Barrels
1,"U.S. Ending Stocks of Crude Oil, Weekly",20201016,W,1128188,Thousand Barrels
2,"U.S. Ending Stocks of Crude Oil, Weekly",20201009,W,1129956,Thousand Barrels
3,"U.S. Ending Stocks of Crude Oil, Weekly",20201002,W,1134933,Thousand Barrels
4,"U.S. Ending Stocks of Crude Oil, Weekly",20200925,W,1135577,Thousand Barrels
5,"U.S. Ending Stocks of Crude Oil, Weekly",20200918,W,1139358,Thousand Barrels
6,"U.S. Ending Stocks of Crude Oil, Weekly",20200911,W,1141778,Thousand Barrels
7,"U.S. Ending Stocks of Crude Oil, Weekly",20200904,W,1148294,Thousand Barrels
8,"U.S. Ending Stocks of Crude Oil, Weekly",20200828,W,1146566,Thousand Barrels
9,"U.S. Ending Stocks of Crude Oil, Weekly",20200821,W,1157228,Thousand Barrels
10,"U.S. Ending Stocks of Crude Oil, Weekly",20200814,W,1163680,Thousand Barrels
11,"U.S. Ending Stocks of Crude Oil, Weekly",20200807,W,1167983,Thousand Barrels
12,"U.S. Ending Stocks of Crude Oil, Weekly",20200731,W,1174737,Thousand Barrels
13,"U.S. Ending Stocks of Crude Oil, Weekly",20200724,W,1182116,Thousand Barrels
14,"U.S. Ending Stocks of Crude Oil, Weekly",20200717,W,1192727,Thousand Barrels
15,"U.S. Ending Stocks of Crude Oil, Weekly",20200710,W,1187837,Thousand Barrels
16,"U.S. Ending Stocks of Crude Oil, Weekly",20200703,W,1195204,Thousand Barrels
17,"U.S. Ending Stocks of Crude Oil, Weekly",20200626,W,1188940,Thousand Barrels
18,"U.S. Ending Stocks of Crude Oil, Weekly",20200619,W,1194443,Thousand Barrels
19,"U.S. Ending Stocks of Crude Oil, Weekly",20200612,W,1191010,Thousand Barrels
20,"U.S. Ending Stocks of Crude Oil, Weekly",20200605,W,1188064,Thousand Barrels
21,"U.S. Ending Stocks of Crude Oil, Weekly",20200529,W,1180124,Thousand Barrels
22,"U.S. Ending Stocks of Crude Oil, Weekly",20200522,W,1178181,Thousand Barrels
23,"U.S. Ending Stocks of Crude Oil, Weekly",20200515,W,1168142,Thousand Barrels
24,"U.S. Ending Stocks of Crude Oil, Weekly",20200508,W,1171242,Thousand Barrels
25,"U.S. Ending Stocks of Crude Oil, Weekly",20200501,W,1170054,Thousand Barrels
26,"U.S. Ending Stocks of Crude Oil, Weekly",20200424,W,1163748,Thousand Barrels
27,"U.S. Ending Stocks of Crude Oil, Weekly",20200417,W,1153607,Thousand Barrels
28,"U.S. Ending Stocks of Crude Oil, Weekly",20200410,W,1138585,Thousand Barrels
29,"U.S. Ending Stocks of Crude Oil, Weekly",20200403,W,1119337,Thousand Barrels
30,"U.S. Ending Stocks of Crude Oil, Weekly",20200327,W,1104160,Thousand Barrels
31,"U.S. Ending Stocks of Crude Oil, Weekly",20200320,W,1090327,Thousand Barrels
32,"U.S. Ending Stocks of Crude Oil, Weekly",20200313,W,1088704,Thousand Barrels
33,"U.S. Ending Stocks of Crude Oil, Weekly",20200306,W,1086750,Thousand Barrels
34,"U.S. Ending Stocks of Crude Oil, Weekly",20200228,W,1079086,Thousand Barrels
35,"U.S. Ending Stocks of Crude Oil, Weekly",20200221,W,1078302,Thousand Barrels
36,"U.S. Ending Stocks of Crude Oil, Weekly",20200214,W,1077850,Thousand Barrels
37,"U.S. Ending Stocks of Crude Oil, Weekly",20200207,W,1077435,Thousand Barrels
38,"U.S. Ending Stocks of Crude Oil, Weekly",20200131,W,1069976,Thousand Barrels
39,"U.S. Ending Stocks of Crude Oil, Weekly",20200124,W,1066621,Thousand Barrels
40,"U.S. Ending Stocks of Crude Oil, Weekly",20200117,W,1063073,Thousand Barrels
41,"U.S. Ending Stocks of Crude Oil, Weekly",20200110,W,1063478,Thousand Barrels
42,"U.S. Ending Stocks of Crude Oil, Weekly",20200103,W,1066027,Thousand Barrels
43,"U.S. Ending Stocks of Crude Oil, Weekly",20191227,W,1064863,Thousand Barrels
44,"U.S. Ending Stocks of Crude Oil, Weekly",20191220,W,1076326,Thousand Barrels
45,"U.S. Ending Stocks of Crude Oil, Weekly",20191213,W,1081800,Thousand Barrels
46,"U.S. Ending Stocks of Crude Oil, Weekly",20191206,W,1082886,Thousand Barrels
47,"U.S. Ending Stocks of Crude Oil, Weekly",20191129,W,1082262,Thousand Barrels
48,"U.S. Ending Stocks of Crude Oil, Weekly",20191122,W,1088122,Thousand Barrels
49,"U.S. Ending Stocks of Crude Oil, Weekly",20191115,W,1087917,Thousand Barrels
50,"U.S. Ending Stocks of Crude Oil, Weekly",20191108,W,1088510,Thousand Barrels
51,"U.S. Ending Stocks of Crude Oil, Weekly",20191101,W,1087734,Thousand Barrels
52,"U.S. Ending Stocks of Crude Oil, Weekly",20191025,W,1080505,Thousand Barrels
53,"U.S. Ending Stocks of Crude Oil, Weekly",20191018,W,1075501,Thousand Barrels
54,"U.S. Ending Stocks of Crude Oil, Weekly",20191011,W,1078199,Thousand Barrels
55,"U.S. Ending Stocks of Crude Oil, Weekly",20191004,W,1070187,Thousand Barrels
56,"U.S. Ending Stocks of Crude Oil, Weekly",20190927,W,1067460,Thousand Barrels
57,"U.S. Ending Stocks of Crude Oil, Weekly",20190920,W,1064356,Thousand Barrels
58,"U.S. Ending Stocks of Crude Oil, Weekly",20190913,W,1061944,Thousand Barrels
59,"U.S. Ending Stocks of Crude Oil, Weekly",20190906,W,1060886,Thousand Barrels
60,"U.S. Ending Stocks of Crude Oil, Weekly",20190830,W,1067798,Thousand Barrels
61,"U.S. Ending Stocks of Crude Oil, Weekly",20190823,W,1072569,Thousand Barrels
62,"U.S. Ending Stocks of Crude Oil, Weekly",20190816,W,1082596,Thousand Barrels
63,"U.S. Ending Stocks of Crude Oil, Weekly",20190809,W,1085328,Thousand Barrels
64,"U.S. Ending Stocks of Crude Oil, Weekly",20190802,W,1083748,Thousand Barrels
65,"U.S. Ending Stocks of Crude Oil, Weekly",20190726,W,1081363,Thousand Barrels
66,"U.S. Ending Stocks of Crude Oil, Weekly",20190719,W,1089859,Thousand Barrels
67,"U.S. Ending Stocks of Crude Oil, Weekly",20190712,W,1100694,Thousand Barrels
68,"U.S. Ending Stocks of Crude Oil, Weekly",20190705,W,1103810,Thousand Barrels
69,"U.S. Ending Stocks of Crude Oil, Weekly",20190628,W,1113309,Thousand Barrels
70,"U.S. Ending Stocks of Crude Oil, Weekly",20190621,W,1114394,Thousand Barrels
71,"U.S. Ending Stocks of Crude Oil, Weekly",20190614,W,1127182,Thousand Barrels
